label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;2022年9月22日免费：视频中的谷歌翻译APP、腾讯翻译君APP、有道翻译APP、百度翻译APP收费：百度ai同传电脑版每位用户可获赠2小时同传时长，有效期30天、有道同传pc版有免费的时长，每日免费时长1小时，企业版可畅享不限时同传服务电脑使用app：下载模拟器，安装app，电脑声音设置中打开声音控制面板，点击录制，设置立体声混音为默认设备，然后重启模拟器，打开需要翻译音频的外文视频，打开模拟器的翻译app，点击实时翻译的功能，应该就可以翻译了。手机自带翻译功能：请自行百度或者手机论坛查询手机翻译功能有无。;9;240;249;3578;0.06959195081050866
10;非常感谢鼓掌帮大忙了;1;56;57;3578;0.01593068753493572
12;up国语没加字幕可以翻译出来吗？;3;32;35;3578;0.009782001117942985
16;想问一下，我有一些资源是有字幕但是是英文的，但语言是别的，有什么软件可以根据英文字幕实时翻译吗;2;22;24;3578;0.006707657909446618
19;下载一个安卓模拟器然后安装一个腾讯翻译君或者有道翻译官或者视频中出现的app，就可以边播放边翻译。软件就是有道同传或者是百度ai同传;17;127;144;3578;0.04024594745667971
37;想请问这个机器翻译完了的译文可以保存下来吗给心心;2;6;8;3578;0.0022358859698155395
41;您好，请问一下，我现在是下了逍遥模拟器，然后又下了有道翻译君。但是打开有道翻译中的同声传译之后，他所录入的声音也只能是我在现实中说话的声音而不是电脑的声音保卫萝卜哭哭，请问这应该怎么解决呢？谢谢保卫萝卜哇;4;8;12;3578;0.003353828954723309
46;弄了好久，终于能用了。电脑要设置好这个就不说了，还要模拟器也要够好，乱下的模拟器还未必能读取得出语音信息笑哭太折腾我这种电脑小白了;9;11;20;3578;0.005589714924538848
58;模拟器录制PC的内录声音怎样实现的，谢谢;6;5;11;3578;0.0030743432084963667
70;今天看了一下，有道翻译官没有同声传录翻译的功能了，只有一句句翻译。百度翻译的话，经常向句英文说完了，它都没有翻译，丢句很严重根本不能用。腾讯翻译也没有同声传录翻译了。不知道UP主现在有没有找到能实时转录翻译的APP或软件。;1;0;1;3578;0.00027948574622694243
73;那个有实时翻译软件吗？就是会议面对面交流那种;1;1;2;3578;0.0005589714924538849
75;想问一下模拟器怎么录入电脑的声音呢不开扬声器收音的情况下），也是用的雷电模拟器，需要怎么设置呢感谢;5;0;5;3578;0.001397428731134712
82;帮了大忙，要面试，还好刷到了你的视频，不三连对不起我的内心;1;1;2;3578;0.0005589714924538849
84;三连了，麻烦问一下，日中实时翻译，那个更准点？;1;0;1;3578;0.00027948574622694243
94;安卓平板可以吗大哭;1;0;1;3578;0.00027948574622694243
97;诞生了新的问题，我的笔记本电脑背不动安卓模拟器，更别说在上面运行程序了，所以翻译一点都不及时，2022年了，还有更好更轻巧的模拟器吗？;4;0;4;3578;0.0011179429849077697
103;up，这些APP能挂后台，然后把我正在播放的视频实时转换，加上字幕吗？（不一定得是字幕，但是尽量不要挡着我看视频的视线）;2;0;2;3578;0.0005589714924538849
107;问下。。这个APP的模拟器可以捕捉本机的声音么。。我这搞了半天没搞明白。。一直读取不到;5;0;5;3578;0.001397428731134712
115;竟然有日语同声传译帮了大忙了;4;6;10;3578;0.002794857462269424
120;upup有韩译中的吗保卫萝卜哭哭;2;0;2;3578;0.0005589714924538849
126;百度ai同传助手收费吗;1;0;1;3578;0.00027948574622694243
129;手机上有吗？;1;0;1;3578;0.00027948574622694243
132;为什么我下的谷歌翻译和你的不一样，我在play下的，而且有明显的延迟;1;1;2;3578;0.0005589714924538849
134;iPad用不了;2;0;2;3578;0.0005589714924538849
137;ipad能用吗;1;0;1;3578;0.00027948574622694243
139;请问如何让安卓模拟器接收电脑pc的声音？找了半天没找到方法;3;3;6;3578;0.0016769144773616546
143;爷就喜欢这样的视频，太无敌了打call打call;1;2;3;3578;0.0008384572386808273
146;手机的呢;1;0;1;3578;0.00027948574622694243
148;想问一下up主就是看那种ins直播的用这个翻译可以吗？;8;0;8;3578;0.0022358859698155395
157;UP请问一下你用的啥模拟器？我的雷电模拟器谷歌翻译点转录功能提示需要佩戴耳机，实际上电脑已经插了耳机。百度翻译在模拟器能正常使用;2;2;4;3578;0.0011179429849077697
160;请问电脑下模拟器用翻译软件翻译的话是需要声音开外放吗？;1;0;1;3578;0.00027948574622694243
162;请问下电脑下模拟器按照翻译软件来翻译的话是需要把视频音量调大吗，我试了下是不是声音小显示不出来;2;2;4;3578;0.0011179429849077697
167;感谢大佬bob已经配置上了太好用了;2;2;4;3578;0.0011179429849077697
173;APITrial额度用完了怎么办UP有续费过么;1;0;1;3578;0.00027948574622694243
177;学英语专业的可以码住了，下次再有人找我帮忙翻译，我就把这个发给他，工具比人好用呲牙;1;10;11;3578;0.0030743432084963667
183;微软发布了154页的报告，表示创造者自己都不清楚gpt为什么和怎么会做到如今这么智能大型神经网络实际运行很难完全追踪。也就是说除了外部框架，gpt内部对开发者来说也几乎是完全的黑箱，意不意外惊不惊喜吃瓜。具体报告本站可以搜到。;18;143;161;3578;0.04499720514253773
202;chatgpt对我而言最大的帮助就是他能直接回答你的问题，并且可以追问他，答案的质量也不低。比在百度搜索然后跳转到CSDN，然后再粪坑里淘金子效率要高的多。;8;106;114;3578;0.03186137506987144
211;chat开放用户免费使用，正是收集质量的正反馈用作预训练，未来真就无限可能。头部赢家通吃笑哭;12;72;84;3578;0.023476802683063163
224;我自己按英语思维尝试翻译了一下。饮水思其源，学成念吾师ThankgodbeforemealThankteachersaftergraduation父母之爱子，则为之计深远Goodparentsalwayshavealongtermplanfortheirchidren山河不足重，重在遇知己Agoodsoulmatemattersthangoodscenery;3;60;63;3578;0.01760760201229737
228;对于对于英专生又是一记暴击;10;23;33;3578;0.0092230296254891
239;但是他无法真确给出“干一行行一行，一行行行行行”的拼音与英文;17;22;39;3578;0.010899944102850754
257;这和让它做数学题一样，不要直接给出答案，而是分步骤的写出过程，这样得到的结果会准确很多;2;17;19;3578;0.005310229178311906
260;把chatgpt的翻译投射到ar眼镜上，再配个蓝牙耳机听发音，不就实现同声传递了;5;13;18;3578;0.005030743432084964
273;买了一个puls果然牛逼价格还比网上便宜笑哭;1;1;2;3578;0.0005589714924538849
277;你再去问问newbing;1;1;2;3578;0.0005589714924538849
279;如果有大量文本翻译，怎么用呢;3;1;4;3578;0.0011179429849077697
283;gpt4比这个进步很大;1;1;2;3578;0.0005589714924538849
288;doge可以用来翻译自己的论文投一区或者2区吗吗;2;0;2;3578;0.0005589714924538849
292;MountainsandriversholdnoweightwhatmattersisfindingatruefriendGpt4翻的吃瓜;1;0;1;3578;0.00027948574622694243
296;现在这个翻译语法错误多吗？有比现在的翻译软件强吗？;4;0;4;3578;0.0011179429849077697
301;是gpt35还是4？;7;0;7;3578;0.001956400223588597
309;怎么用啊？;1;0;1;3578;0.00027948574622694243
311;人类：人工智能会取代人类人工智能：我深吸一口气，周边的人因缺氧而死。秦始皇当选美国总统，并复活了所有总统人类：辣眼睛;6;3091;3097;3578;0.8655673560648407
318;君不见，黄河之水天上来，奔流到海不复回。君不见，高堂明镜悲白发，朝如青丝暮成雪。人生得意须尽欢，莫使金樽空对月。天生我材必有用，千金散尽还复来。烹羊宰牛且为乐，会须一饮三百杯。岑夫子，丹丘生，将进酒，杯莫停。与君歌一曲，请君为我倾耳听。钟鼓馔玉不足贵，但愿长醉不愿醒。古来圣贤皆寂寞，惟有饮者留其名。陈王昔时宴平乐，斗酒十千恣欢谑。主人何为言少钱，径须沽取对君酌。五花马，千金裘，呼儿将出换美酒，与尔同销万古愁AI：看看你，黄河的水是如何离开天堂，进入海洋，一去不复返。看看你，你多可爱。你被关在高高的房间里明亮的镜子里，虽然丝般的黑迟早会化为雪。哦，让一个有精神的人去他想去的地方冒险，永远不要拿着空金杯对着月亮。既然上帝赋予了天赋，那就让它发挥作用吧至于钱，虽然已经散了，但还会再聚的。煮一只羊，杀一头牛，磨磨我的胃口，让我，三百碗，吃个痛快。岑老爷，丹秋生，把酒全喝了。玻璃是无穷无尽的。让我给你唱首歌吧请听我说。有哪些鼓、美食、珍宝？让我永远沉醉，永远失去理智。古代清醒的人和圣贤都被遗忘了，只有伟大的饮酒者才能永生。陈在完工堂的酒席上用一万金币买了一桶酒。大家都笑了，说了句俏皮话。为什么，我的主人，你的钱不见了？去买酒，我们一起喝。马，金，送给男生，换酒与大家分享。;3;563;566;3578;0.15818893236444942
