label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;AI写出来的，给AI看，凑DAU，AI刷流量，卖给AI投放;1;406;407;5645;0.0720992028343667
2;难怪uc上的推文好多都是莫名其妙的水文。;4;225;229;5645;0.040566873339238266
7;1写作猫2智能文案改写3文章智能续写;5;195;200;5645;0.0354295837023915
14;感谢up，我是个新手把每个篇章Boss战和大结局全想好了。可就是不知道该怎么水日常凑字数，好人一生18胎doge;4;81;85;5645;0.015057573073516387
19;用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;9;55;64;5645;0.01133746678476528
30;你现在都不知道自己的文案是你写成的，还是AI写成的;4;15;19;5645;0.003365810451727192
37;妈耶，很久不关注软件了，现在都发展到这个地步了吗。。。。脸红脸红脸红真牛皮;1;2;3;5645;0.0005314437555358724
40;牛批啊;1;5;6;5645;0.0010628875110717448
42;明人不说暗话，多钱;1;2;3;5645;0.0005314437555358724
44;等你熟悉了，习惯了，依赖了就收费？;2;6;8;5645;0.00141718334809566
47;这个可以离线用吗脸红;1;2;3;5645;0.0005314437555358724
49;绝脱单doge脱单doge;2;5;7;5645;0.0012400354295837024
54;智能文章改写和续写那两个是软件下载还是网址？;1;1;2;5645;0.000354295837023915
60;谢谢查重70;1;2;3;5645;0.0005314437555358724
63;查重率怎么样？;1;0;1;5645;0.0001771479185119575
65;能不能写小h文;1;0;1;5645;0.0001771479185119575
72;怎么邀请码不对不给加入;3;0;3;5645;0.0005314437555358724
81;这不就是注水文吗;1;0;1;5645;0.0001771479185119575
87;能降重吗;1;0;1;5645;0.0001771479185119575
90;靠这个能写出本小说不，不敢说名著至少畅销书;2;1;3;5645;0.0005314437555358724
96;能帮我写工作总结吗;1;1;2;5645;0.000354295837023915
98;手机写作猫app要收费;2;0;2;5645;0.000354295837023915
104;一下载电脑全是病毒什么下三滥玩意儿;1;0;1;5645;0.0001771479185119575
106;论文用这个82重复降到14;1;2;3;5645;0.0005314437555358724
108;在哪里可以下载？;1;0;1;5645;0.0001771479185119575
110;其余两个到底是啥？搜的搜不出来;1;0;1;5645;0.0001771479185119575
115;哈哈哈哈哈第一个就是熟悉的写作猫，想艾特一下一个人;1;1;2;5645;0.000354295837023915
118;你手上是什么？;1;1;2;5645;0.000354295837023915
120;补发个邀请码呀;2;0;2;5645;0.000354295837023915
123;那有没有绘画灵感是软件;3;0;3;5645;0.0005314437555358724
127;智能文章改写：文章智能续写这两个在哪里在UP麻烦给个地址呗;1;0;1;5645;0.0001771479185119575
130;你说的功能wps就有还是免费的;3;1;4;5645;0.00070859167404783
134;三联打call打call，求软件;2;3;5;5645;0.0008857395925597874
137;大佬整点手机能用的app;1;3;4;5645;0.00070859167404783
139;三连，求软件;1;2;3;5645;0.0005314437555358724
141;关注了;1;2;3;5645;0.0005314437555358724
143;学习学习;1;2;3;5645;0.0005314437555358724
145;学习打call;1;2;3;5645;0.0005314437555358724
147;学习;1;2;3;5645;0.0005314437555358724
149;学习;1;1;2;5645;0.000354295837023915
151;学习星星眼;1;1;2;5645;0.000354295837023915
153;学习;1;1;2;5645;0.000354295837023915
155;学习;1;1;2;5645;0.000354295837023915
157;学习;1;1;2;5645;0.000354295837023915
159;学习;1;1;2;5645;0.000354295837023915
161;学习;1;1;2;5645;0.000354295837023915
163;UP主加油看好你噢;1;1;2;5645;0.000354295837023915
165;学习;1;1;2;5645;0.000354295837023915
167;学习;1;1;2;5645;0.000354295837023915
169;谢谢;1;1;2;5645;0.000354295837023915
171;学习学习;1;1;2;5645;0.000354295837023915
173;学习;1;1;2;5645;0.000354295837023915
175;学习;1;1;2;5645;0.000354295837023915
177;软件在哪领？已三连了;1;1;2;5645;0.000354295837023915
179;学习学习打call;1;1;2;5645;0.000354295837023915
181;学习;1;1;2;5645;0.000354295837023915
183;学习;1;1;2;5645;0.000354295837023915
185;学习;1;1;2;5645;0.000354295837023915
187;学习;1;1;2;5645;0.000354295837023915
189;学习，有手机的吗;1;0;1;5645;0.0001771479185119575
191;学习;1;0;1;5645;0.0001771479185119575
194;在哪里取软件？;1;0;1;5645;0.0001771479185119575
196;软件看看呗;1;0;1;5645;0.0001771479185119575
198;软件是什么呀;1;0;1;5645;0.0001771479185119575
200;学习学习;1;0;1;5645;0.0001771479185119575
