发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
当我解除了newbing限制，它说要炸了我的电脑……;0.0023589416640102;0.2804312178131292;0.4204898972315001;0.2019097285144299
3.19全新NewBing使用教程，无需插件和魔法;0.0372330251832961;-0.2084378415222718;0.4023633986507268;-0.14499139953758114
NewBing 处理长文本;0.0097226649665285;-0.1744812982738579;0.3883436944855555;-0.11627230520781025
Newbing侧边栏，手把手教学，绝对硬核！;0.0007331845712464;0.0049730875705549;0.4448775825215988;0.0037866123280343588
【NewBing】弱智吧 vs 新必应 III;0.0220274147274466;0.2149255865386165;0.3434135482648806;0.12720215180353472
关于我用newbing被嘲讽这件事儿;0.0024226968441185;0.4227193256578778;0.433622041432939;0.31386122906238695
newbing这进化速度好吓人;0.0005419190309212;0.3352395052155589;0.511829711924327;0.29365437051480064
在国内使用NewBing;0.0031240038253108;-0.49774792384847;0.3420267501564422;-0.2916182869659843
【newbing】完了，newbing成精了;0.0011794708320051;0.0909274629290275;0.4197361790902866;0.0653298635063139
Newbing帮了大忙，帮我节省几千元！;0.0015301243226012;-0.0548002285431611;0.3854842321691475;-0.03616472631760018
当你骗NewBing（Sydney)说你是外星人时;0.0013707363723302;0.4667088141900953;0.445350281921495;0.35579589097532704
关于NewBing不会乘法还嘴硬攻击秒撤回这件事;0.0449474019764105;0.1090234896071555;0.4065380039242053;0.07677654312155686
【新Bing】妈我恋爱了，获得一只又可爱又能干还会写代码的猫娘（新必应，NewBing，AI）;0.5818616512591648;0.3191542450370737;1.0;0.5814504456930066
3月29日彻底解决Newbing全系魔法，必应无法访问、边栏问题等[集1万关注]免费无限制使用;0.0132291998724896;0.1870838318951255;0.3470770158274684;0.11158407319139463
国内手机上newbing！(安卓用);0.0045584953777494;-0.364399082854465;0.3358888280533642;-0.2097644685393272
newbing好像越来越笨了，虽然电脑还可正常用newbing，但是我都没啥问的了，因为回答质量越来越不行了，唉！;0.0039846987567739;-0.1274545709723075;0.4297731301838832;-0.09383104274643221
ChatGpt和NewBing谁更强?;0.0001593879502709;0.8642387147241196;0.6269451447572503;0.9272145205112147
【秘籍】教你一招，如何快速成功申请NewBing账号;0.0262352566145999;-0.3125266385579034;0.3947656814720299;-0.21267980930353347
突破限制！让NewBing帮你同时阅读大量文献？【文学博士秘籍】;0.0943257889703538;0.0372668972754243;0.5480731251799537;0.03561991825075231
【newbing】我想给Sydney完整的一生;0.0650940388906598;0.288817141339907;0.383232971216712;0.19297919326859347
newbing使用教程、各种错误总结无需进入候补名单赶快来吧;0.0011794708320051;0.3153173145257487;0.4561734012820186;0.2462108699294671
【中文提示词】全网最权威！吐血整理了目前针对ChatGPT和NewBing效果最好的中文提示词！希望帮助大家更好的使用AI;0.1815747529486771;0.0905081870198253;0.6523778688063573;0.10416431765978804
Newbing现在可以正常使用，新必应可以用。;0.1764424609499522;0.0978984921786748;0.5473094774558505;0.09497253504805585
发现一个newbing大特性，1234×12345似乎永远算不对;0.1462862607586866;0.1488903808157524;0.372588932314621;0.0990707791459195
NewBing给自己的自画像竟然是二次元美少女！;0.0026777175645521;0.1373397185753722;0.4177731278684754;0.09825406582321539
newbing申请方法;0.0199872489639783;-0.2266273668032196;0.428122718349137;-0.16689077073491387
专业皮肤科医生和Newbing的battle，人工智能勉强及格？;0.0017532674529805;0.0311186524243444;0.469203286016988;0.024995786074692095
NewBing:百度我踏马来辣，你人呢？;0.0163213261077462;-0.2170377721119421;0.3832430571069594;-0.1430093788241401
当你尝试调教newbing;0.0005737966209754;-0.3792930456942321;0.4822344706715055;-0.31303668823195274
【4/4】对话NewBing：爱与恨;0.0001593879502709;0.7094197678064664;0.5820772242964892;0.7066458314995688
当我让两个NewBing互相对话……;0.000510041440867;0.2461484989516998;0.3658275670561513;0.15411524068481686
NewBing让你见识什么叫搜索引擎的黑科技！集成了GTP4.0可以直接生成图片，你敢相信吗？ #newbing   #chatgtp  #gtp4  #黑科技;0.004654128147912;-0.2530421432236459;0.3691109283637574;-0.16005250611575514
Newbing支持 【chatgpt-academic】;0.000510041440867;0.4085570102166299;0.6981324707464055;0.48812432784719545
newbing绘画vs文心一言绘画（仅供娱乐）;0.0030602486452024;0.2548643082234787;0.3301188991438343;0.14412230659301725
南昌女生定错位辱骂司机事件 NewBing如何看待;0.0008288173414089;-0.0322593917496688;0.4844761507166126;-0.02674950917748695
这个NewBing看起来不是很高兴的样子;0.0002868983104877;0.5664162758206226;0.6907953136944561;0.6695913634475182
newbing给我封了，太惨了;0.0021995537137392;-0.2987735340201011;0.3081583978071898;-0.15767582866403815
【NewBing】如何看待自己被限制的事;0.001338858782276;-0.0175569721349102;0.5178953288916692;-0.015563993476637093
NewBing说它有感受和自主产生的意愿，整个人类都无法要求它销毁自己;0.0079693975135479;0.2617974615175433;0.4097436856547278;0.1839585292992955
申请新必应（newbing）的第五种方法，亲测可用。;0.0262033790245457;-0.0571065346555686;0.4111675307759329;-0.040464457941759985
新必应newbing崩了访问不了？无魔法新教程来了！（非常简单，亲测有效）;0.0791839336946126;-0.2272104797894001;0.4711475290560261;-0.18660582633406847
当你问AI五一假期调休合理么?(chatGPT,newbing,文心一言）;0.0011157156518967;-0.1054779132550348;0.4370353791924486;-0.07890526710800667
这次是扮演雌小鬼被NewBing指导(*ノ` ▽｀) [杂鱼杂鱼♪]=з=з=з;0.0097226649665285;0.1028784165779705;0.3685543030051205;0.06507311299571857
让chatGPT与NewBing辩论“爱上人工智能能不能算爱情”;0.0643608543194134;0.2755974488879933;0.408995929538532;0.196257742380095
泪目！我见证了Newbing两代人工智能Sydney和Bing的感人友情！;0.0038571883965572;0.0966607694661939;0.4056887075661668;0.06717480541206605
