label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;人做出的可以说为艺术品，而AI做出的只能说是物品请不要丧失自己对艺术的渴望，AI永远不会超越人类只会复制人类的;161;929;1090;143371;0.007602653256237314
162;这个制作水平已经能够超越现在大部分快餐歌曲了如果国内音乐市场再这么混乱，或许AI真会成为主流;37;896;933;143371;0.006507592190889371
200;换一个思路，可以用ai摸鱼;27;373;400;143371;0.0027899644977017668
228;你自己做的会有自己的情感融入，ai不行，所以是不会被取代的;37;47;84;143371;0.000585892544517371
266;那这样岂不是没有版权一说？;15;126;141;143371;0.0009834624854398728
282;居然还不错;3;214;217;143371;0.0015135557400032084
286;很好，我已经用这个制作了一首伴奏，然后用虚拟歌手那个软件演唱，然后已经发布了。;20;75;95;143371;0.0006626165682041696
307;有徐梦圆的感觉了;12;99;111;143371;0.0007742151481122402
320;有挺多东西，大部分人精心制作的不如工厂流水线生产的质量好。。小部分人或许可以做的更好，但是。;10;34;44;143371;0.0003068960947471943
331;ai：渺小的人类;2;43;45;143371;0.0003138710059914488
334;横向编排还不错纵向的段落层次不明显内容不多完善了还真有可能失业;1;47;48;143371;0.000334795739724212
336;个人总结：优点：方便简单，效率高缺点：过于工整对齐。一板一眼个人觉得从商业化的角度看确实在一定程度上可以获得小部分编曲市场。总的来说只能称之为还可以，不违和。好听不好听的在个人了;4;34;38;143371;0.00026504662728166786
341;超级喜欢你的心动轨迹;1;40;41;143371;0.00028597136101443107
344;请问这个版权归属谁呢？;1;9;10;143371;6.974911244254417e-05
354;老师我有歌谱能帮忙制作一个伴奏吗;1;0;1;143371;6.974911244254417e-06
369;这个曲子，我立马就可以填词了;3;1;4;143371;2.7899644977017668e-05
399;屏幕对面的印度人忙死了;1;3;4;143371;2.7899644977017668e-05
431;我怕耍你两巴掌抱看;1;2;3;143371;2.092473373276325e-05
439;CFM安静这个你试试;1;2;3;143371;2.092473373276325e-05
441;桑葚刘秘书，你觉得这个怎么样;2;2;4;143371;2.7899644977017668e-05
445;我想问问有没有我清唱然后有编曲的;1;1;2;143371;1.3949822488508834e-05
467;比周杰伦新歌都好听了;1;6;7;143371;4.882437870978092e-05
474;普通人还挺好听;1;2;3;143371;2.092473373276325e-05
515;哇。看了以后不用找编曲了，主要靠词曲唱了。;1;1;2;143371;1.3949822488508834e-05
522;周杰伦以前对这个说过一句话：放心有我在ai绝对没有人编的好;1;1;2;143371;1.3949822488508834e-05
542;超级厉害毛想问问人工智能可不可以把我收了，我不想做人了;2;1;3;143371;2.092473373276325e-05
545;这是啥啊;1;1;2;143371;1.3949822488508834e-05
547;余揾;1;1;2;143371;1.3949822488508834e-05
554;我向往的是ai根据小说自动生成动画片;3;2;5;143371;3.487455622127208e-05
566;李文藝ringo要不你去下一个;1;2;3;143371;2.092473373276325e-05
589;根据什么呢？好神奇，不会编曲没有学过乐理知识的能会吗？;3;2;5;143371;3.487455622127208e-05
610;好家伙芒种和别的融合了;1;1;2;143371;1.3949822488508834e-05
