label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;怎么打开魔法工具;1;0;1;1131;0.0008841732979664014
2;microsoft账户怎么申请;5;0;5;1131;0.004420866489832007
8;点了立即聊天又弹出同样画面;1;1;2;1131;0.0017683465959328027
10;没申请过前几天突然就能用了;3;1;4;1131;0.0035366931918656055
15;不用mod修改？;2;0;2;1131;0.0017683465959328027
19;我一步一步做的，但为什么就是不行？;1;0;1;1131;0.0008841732979664014
21;为啥我的是英文的;1;0;1;1131;0.0008841732979664014
23;请问手机怎么操作呢;1;0;1;1131;0.0008841732979664014
26;现在不能用了吗？;1;0;1;1131;0.0008841732979664014
28;手机能用吗？;2;0;2;1131;0.0017683465959328027
31;真的？;2;0;2;1131;0.0017683465959328027
38;回车以后还是老的bing页面，咋回事儿？;6;0;6;1131;0.005305039787798408
45;我申请通过了，但是点击立即聊天就空白页了;3;0;3;1131;0.002652519893899204
49;要不要梯子的的？;1;1;2;1131;0.0017683465959328027
51;已经成功，等了一个礼拜的号秒通过;1;0;1;1131;0.0008841732979664014
55;他提示重定向次数过多，要删除cookie，这个咋办;36;124;160;1131;0.14146772767462423
92;newbing被阉割了，不如直接使用35的;17;24;41;1131;0.036251105216622455
110;bing的chatgpt太笨，太难用，没原生官网的chatgpt好用;9;56;65;1131;0.05747126436781609
120;方法不行了，算了;7;3;10;1131;0.008841732979664015
128;一个24点都玩不明白的chatgpt和newbing;10;4;14;1131;0.01237842617152962
139;加入队列了，一直在等;13;0;13;1131;0.011494252873563218
153;newbing我一直申请出错，换了好多节点都不行，只能用chatgpt;5;13;18;1131;0.015915119363395226
159;不是。你没魔法怎么用newbing;3;10;13;1131;0.011494252873563218
163;你的文案不会是newbing出的吧;2;21;23;1131;0.020335985853227233
166;怎么可以用呀;13;1;14;1131;0.01237842617152962
180;ipad怎么上？;6;0;6;1131;0.005305039787798408
187;候补申请几天通过吧;9;0;9;1131;0.007957559681697613
197;你好，我的newbing傍边侧栏不能输入，是什么原因，如何处理;2;4;6;1131;0.005305039787798408
200;这个没有那么强;4;1;5;1131;0.004420866489832007
205;不是一分钟搞定吗，能搞一晚上的;4;0;4;1131;0.0035366931918656055
210;手机版的;2;0;2;1131;0.0017683465959328027
222;国内能用国际版的bing吗;1;1;2;1131;0.0017683465959328027
226;为啥我打开只能用12个问题;1;0;1;1131;0.0008841732979664014
228;不能用;1;1;2;1131;0.0017683465959328027
231;为啥你们都说要申请啊我就等了微软账号，挂了个美丽国的节点，直接打开就用了啊;1;1;2;1131;0.0017683465959328027
233;bing真没chargpt好用太智能了让他写个东西他说这样不好让我自己写;8;11;19;1131;0.016799292661361626
246;收费的，;4;0;4;1131;0.0035366931918656055
258;通过了怎么用;1;0;1;1131;0.0008841732979664014
260;喜欢爸爸还是妈妈？;1;1;2;1131;0.0017683465959328027
262;有没有能推荐个魔法工具还是进不去;3;0;3;1131;0.002652519893899204
278;我怎么用不了;1;0;1;1131;0.0008841732979664014
286;需要科学上网吗;4;0;4;1131;0.0035366931918656055
294;这个感觉不好用，好卡;1;0;1;1131;0.0008841732979664014
307;老虎噘嘴鱼？;3;0;3;1131;0.002652519893899204
313;ninohahahaZZtcdj44;2;0;2;1131;0.0017683465959328027
318;普通的edge用不了可以试试dev版edge;1;9;10;1131;0.008841732979664015
320;bing的性能感觉太差了，适合一些简单的辅助操作，感觉不如gpt35;2;1;3;1131;0.002652519893899204
323;chatpdf不香嘛;3;0;3;1131;0.002652519893899204
327;先点赞，周一试试，虽然我用的是chatgpt;3;0;3;1131;0.002652519893899204
341;能介绍一下啥梯子吗;1;0;1;1131;0.0008841732979664014
359;根本没这么麻烦。;9;1;10;1131;0.008841732979664015
369;我怎么不行啊;6;4;10;1131;0.008841732979664015
376;插件早就不太行了，直接开魔法clash;1;0;1;1131;0.0008841732979664014
390;用过必应的，GPT40也在用，说句实话，必应差点;1;2;3;1131;0.002652519893899204
392;有啥靠谱的魔法啊;2;0;2;1131;0.0017683465959328027
396;必应登录;1;0;1;1131;0.0008841732979664014
404;现在怎么打开新必应，老是跳转，抖音上的教材都过时了;3;0;3;1131;0.002652519893899204
408;直接租台国外的云服务器就行了，不贵几十一个月，就是宽带差点;18;11;29;1131;0.02564102564102564
427;按照你的方法，结果联系人里没有b，如何解决;4;22;26;1131;0.022988505747126436
432;请问一下，出现提示joinwaitlist蓝色按钮并点击以后没有反应啊，是哪里做的不对吗？;2;0;2;1131;0.0017683465959328027
435;加入候补一般多久能成功;8;1;9;1131;0.007957559681697613
444;已经被查封了，这方法3月23号以后就已经没有用;6;37;43;1131;0.03801945181255526
451;为啥显示抱歉我对此用户不可用，我希望我们以后有机会交谈;3;0;3;1131;0.002652519893899204
455;我明明已经申请通过了，用了一天，第二天入口没了;4;2;6;1131;0.005305039787798408
460;亲测可以，但ta说ta的架构GPT35不是40，难怪感觉不是这么聪明;2;6;8;1131;0.007073386383731211
463;测试过了，有用。;2;5;7;1131;0.00618921308576481
466;这怎么搞，不懂啊;3;2;5;1131;0.004420866489832007
470;只能发15条，然后清扫。。真无语;3;2;5;1131;0.004420866489832007
474;Skype感觉也不行了，变成了干脆利落的唐僧，不像chatgpt;7;0;7;1131;0.00618921308576481
482;为什么我这个感觉怪怪的;4;0;4;1131;0.0035366931918656055
487;弄不了那个插件装上后第一个点不开;2;1;3;1131;0.002652519893899204
490;我一步步的申请必应怎么还是原来的界面;2;1;3;1131;0.002652519893899204
497;显示重定向次数过多怎么办;1;0;1;1131;0.0008841732979664014
513;，之前用uu加速器加速微软商城，现在不行了，昨天玩的太猛了。;1;0;1;1131;0.0008841732979664014
520;我今天弄的，发现没有魔法一样不得劲;1;1;2;1131;0.0017683465959328027
528;现在还能不能用，能用我就去试试;1;0;1;1131;0.0008841732979664014
535;这个是需要之前申请通过的吧？;1;0;1;1131;0.0008841732979664014
549;方法是很不错的。只是NEWBING官方自己接入的都是GPT3。;1;1;2;1131;0.0017683465959328027
551;提示：抱歉，我对次用户不可用;1;1;2;1131;0.0017683465959328027
554;我现在用being侧边有东西出来，但是他没有那种聊天记录的对话框，也就是说我这边网页搜什么，然后那边虽然有对应显示，却无法输入我想查询的东西。;1;0;1;1131;0.0008841732979664014
561;我的skype进不去;1;0;1;1131;0.0008841732979664014
567;可以用，为啥网速这么慢呢？;3;1;4;1131;0.0035366931918656055
572;刚试了一下，可以用;1;3;4;1131;0.0035366931918656055
589;还是提示要加入候补名单;3;0;3;1131;0.002652519893899204
594;我bing都打不开;1;2;3;1131;0.002652519893899204
597;不行了，;1;0;1;1131;0.0008841732979664014
600;能帮忙写论文吗;1;0;1;1131;0.0008841732979664014
602;为什么我添加成功了，联系人里没有必应啊;1;0;1;1131;0.0008841732979664014
605;感觉回答的好捞让他写论文居然不给我写;1;1;2;1131;0.0017683465959328027
609;第三步，讲清楚一点好吗？（在哪里搜索？）;2;0;2;1131;0.0017683465959328027
612;为什么我的插件都安装不了;1;0;1;1131;0.0008841732979664014
614;我已经成功申请过必应候补了，它说我尚未加入;1;0;1;1131;0.0008841732979664014
619;这个gpt用起来傻傻的，感觉就是30;1;0;1;1131;0.0008841732979664014
622;试了没学好，应该是我的问题;1;0;1;1131;0.0008841732979664014
627;不知道手机上能不能用;1;1;2;1131;0.0017683465959328027
630;这个版本好象比较低;1;0;1;1131;0.0008841732979664014
632;不行;1;0;1;1131;0.0008841732979664014
636;显示正在等待bing接受邀请人不理我;1;0;1;1131;0.0008841732979664014
638;这个newbing感觉好笨，没有chatgpt好用;2;0;2;1131;0.0017683465959328027
641;怎么回事;1;0;1;1131;0.0008841732979664014
