发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
彩云小梦v2测试;0.0001225790634959;0.1311658747342876;0.5735825236152953;0.13117022965818992
当你让彩云小梦写出原子弹的材料;0.0008335376317724;0.1833575350336045;0.5559459211009137;0.1777509169242534
当我尝试在彩云小梦里教外国角色说中文;0.0025496445207158;0.3585834889891213;0.4727630227988487;0.29573460783291944
把AI写的小说再交给AI批改会怎样？[彩云小梦];0.0217700416768815;0.1348050883048726;0.3262400200470668;0.07724313589358056
把彩云小梦续写的路全封死会怎么样？;0.0605540573670017;0.383690736580744;0.3856771129769949;0.26249704633979537
彩云小梦，彩云天气，彩云小译。科技创新，永远是中国的骄傲！;0.0002451581269919;0.4670949703655353;0.5483520198230883;0.44657500117562704
对彩云小梦的吐槽;0.0002451581269919;0.3279057229019109;0.5735820481646599;0.3279241244031085
彩云小梦调教二期;0.001029664133366;0.5281962781992248;0.436053436114658;0.40165869862814146
用彩云小梦续写兄妹互吃翔………..;0.0123069379749938;0.1310742205997677;0.382500525797728;0.08772176247386855
当我输入“主角死了”后彩云小梦会怎样？;0.0056876685462123;0.3560371131666681;0.3598665338582212;0.22377260917063801
【彩云小梦】随机出的主仆play香死谁了;0.0031135082127972;0.7574971772628158;0.7303257588233261;0.9649648732703693
当我用彩云小梦续写我自己写的小说;0.0003677371904878;-0.105794281437255;0.5076518033365358;-0.09364212848465742
彩云小梦网址：http://if.caiyunai.com/dream/#/;0.0008090218190733;-0.0604066003345575;0.5048868780076804;-0.05318191729249638
如何使用彩云小梦，撰写一部属于自己的小说。;0.0032606030889924;0.2686474551465444;0.4670082584704555;0.21890327960063047
在彩云小梦和15花开对话…;0.0004658004412846;-0.5772327827582113;0.5398442274791015;-0.5433370000690417
彩云小梦怎么搞了个臭狐狸出来了（恼;0.0091689139494974;0.3279569625216169;0.3832558691439011;0.21971857468871683
为了不被差评，彩云小梦…;0.0007354743809757;-0.0228326679582255;0.5581578592570403;-0.022222119649535042
【AI机器人】通过微信，去未来流浪——基于百度飞桨，彩云小梦与Wechaty的科幻机器人;0.0093160088256925;0.0655991680577685;0.3521344801052694;0.04039148606067786
当你用彩云小梦续写处罚条款;0.0008335376317724;-0.5014010190467993;0.80534536216334;-0.7040856805717438
唐僧的实力有多强？AI认为可以大闹天宫！【彩云小梦的AI续写宇宙】;0.03787693062025;0.4356312735373517;0.3963489391889473;0.3042230386501234
彩云小梦使用攻略;0.0003432213777886;0.4503600300112866;0.6428842451551937;0.5048084082159249
彩云小梦使用浅谈;0.0009316008825692;0.2005130486528039;0.4557090454438126;0.1593445159858659
世界设定，自制，链接在简介。游戏名《彩云小梦》;0.0022799705810247;0.4290513101468465;0.3798112056506061;0.2842986357804228
如何让彩云小梦的ai变成傻子;0.0002941897523902;-0.4858109490818293;0.7329420809315019;-0.6208183139607459
【彩云小梦】传销失败的丘比;0.0047805834763422;0.203821670892406;0.3579471586609566;0.12738593148598898
关于半夜用彩云小梦被吓出一身冷汗;0.0038734984064721;-0.0307741800158719;0.3896572391512111;-0.020929404060832213
【彩云小梦】当你让AI教你写小说①;0.0001961265015935;-0.9310344827586206;0.5736940539932733;-0.9312596963041692
彩云小梦，但是狠狠地殴打ai;0.0002696739396911;0.4896545451551972;0.5735820481646599;0.48968434914210374
