label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;写论文的，看我上一条智能写作机器人的，那个写论文、报告、文案都靠谱一些别用这个尝试干正事儿哈哈哈哈;5;92;97;59690;0.0016250628245937343
6;抵触这种东西，小说创作是有灵魂的，包含了作者的情绪，价值，三观，自己的思维。绝对不是一个AI靠算法能够模拟的;36;233;269;59690;0.004506617523873346
43;我试过了，标题是遗书，没过一会就写成了转世渡劫升仙了;12;129;141;59690;0.002362204724409449
56;韩梅梅在宴会上请了一些朋友。李磊是韩梅梅在这个城市唯一的朋友太感人了;8;102;110;59690;0.0018428547495392862
65;可以用来给领导写报告吗;7;57;64;59690;0.0010722063997319483
73;如果我把付费小说的第一段复制进去，是不是它就给我搜索显示出后面的内容了？;6;32;38;59690;0.0006366225498408444
80;玄幻：李雷口吐一口鲜血，对韩梅梅说，今日你记住，不是你退婚，而是我李雷休了你，三十年河东，三十年河西，莫欺少年穷，三年之后，必上宗门与你一战。。。。。;2;27;29;59690;0.00048584352487853914
83;不行，试了一千字以后基本就连接不起上文了;1;31;32;59690;0.0005361031998659742
85;难怪啊，现在很多小说APP，各APP其中很多很多小说大同小异，还没原作者追责抄袭，原来是这么来的。。。。;4;14;18;59690;0.0003015580499246105
90;这是什么软件啊，看了几遍也没说;5;1;6;59690;0.00010051934997487016
96;能写毕业论文吗？;4;1;5;59690;8.376612497905847e-05
101;这个机器人写的一点都没有逻辑，本来是个言情，结果改成了玄幻小说，男女主打起来。嗯，气死我了;2;4;6;59690;0.00010051934997487016
104;千万不要下，会窥屏的;2;3;5;59690;8.376612497905847e-05
108;所以到底是啥工具？;2;2;4;59690;6.701289998324677e-05
115;我去怪不得有些小说感觉像是流水线;1;0;1;59690;1.6753224995811692e-05
150;啥工具？;2;0;2;59690;3.3506449991623385e-05
156;能写论文吗，快毕业了，毕业论文还没着落;1;0;1;59690;1.6753224995811692e-05
172;这个是什么小程序或者APP呀？;1;0;1;59690;1.6753224995811692e-05
176;abcde悲伤荷包蛋给你亮红灯敢信我爸艾特我的;2;1;3;59690;5.025967498743508e-05
194;飞卢，都是这么搞出来的;1;0;1;59690;1.6753224995811692e-05
207;有写公文的没;2;0;2;59690;3.3506449991623385e-05
216;可以生成po文吗查理苏你看她（路辰叶瑄老婆版）祈淇会记得桐嘛;1;0;1;59690;1.6753224995811692e-05
233;Drunk;2;1;3;59690;5.025967498743508e-05
237;这是软件叫什么？;1;0;1;59690;1.6753224995811692e-05
247;所以，这是个啥？想知道;2;0;2;59690;3.3506449991623385e-05
275;APP名字叫什么;1;0;1;59690;1.6753224995811692e-05
278;叫啥啊;1;0;1;59690;1.6753224995811692e-05
281;怪不得现在的小说没啥好看的;1;0;1;59690;1.6753224995811692e-05
300;可以写工作总结吗;1;0;1;59690;1.6753224995811692e-05
306;写作文怎么样;1;0;1;59690;1.6753224995811692e-05
310;我写海绵宝宝跟派大星抓水母，抓着抓着两人就搞上了;1;1;2;59690;3.3506449991623385e-05
317;我能写论文吗？;1;0;1;59690;1.6753224995811692e-05
328;我严重怀疑番茄的小说就是用这个写的;19;444;463;59690;0.007756743173060814
350;什么工具;3;0;3;59690;5.025967498743508e-05
354;要写论文写报告写检查的同学们看我上一条智能写作机器人那个靠谱;3;4;7;59690;0.00011727257497068186
358;可以写论文吗;2;0;2;59690;3.3506449991623385e-05
362;有可以写材料吗;1;0;1;59690;1.6753224995811692e-05
365;0粉丝;1;0;1;59690;1.6753224995811692e-05
367;谁能告诉我玄幻跟玉佩什么关系;2;1;3;59690;5.025967498743508e-05
370;请问是啥工具啊;1;0;1;59690;1.6753224995811692e-05
377;Mysteriousman快;1;0;1;59690;1.6753224995811692e-05
379;北喵不喜糖;1;0;1;59690;1.6753224995811692e-05
382;菜菜小菜菜;2;0;2;59690;3.3506449991623385e-05
385;还有人问这个写的小说能发表吗？先不说签约都够呛，这玩意就是爬的网上的东西拼起来的，说白了就是抄袭;3;30;33;59690;0.0005528564248617858
389;什么网站？？？;2;0;2;59690;3.3506449991623385e-05
399;能写检查吗;1;0;1;59690;1.6753224995811692e-05
401;毕业论文可以不，有没有去重;1;0;1;59690;1.6753224995811692e-05
403;推荐工具不说工具名纯属牛氓;1;0;1;59690;1.6753224995811692e-05
405;什么软件;1;0;1;59690;1.6753224995811692e-05
407;什么软件啊？倒是留个名称啊;1;0;1;59690;1.6753224995811692e-05
409;怪不得现在小说一点感情都没有，;1;0;1;59690;1.6753224995811692e-05
411;什么工具;1;0;1;59690;1.6753224995811692e-05
413;是镟不是璇;1;0;1;59690;1.6753224995811692e-05
415;啥软件;1;0;1;59690;1.6753224995811692e-05
590;我翻了浏览器和B站都没找到这软件窥屏的证据，请大家不要传谣;5;148;153;59690;0.002563243424359189
596;《七彩仙女》;1;1549;1550;59690;0.025967498743508125
598;神马软件啊;8;365;373;59690;0.0062489529234377615
609;没过五;1;65;66;59690;0.0011057128497235717
611;家人们别下呀，这个窥屏;10;8;18;59690;0.0003015580499246105
622;我洋洋洒洒写了一千字的车，几百字的背景人设，她给我来了句为了我的创作安全不能完成本次服务;2;21;23;59690;0.00038532417490366895
625;我这写了一句“她的哥哥是她的亲弟弟”;1;23;24;59690;0.00040207739989948064
627;这是什么应用？;2;3;5;59690;8.376612497905847e-05
630;这是什么软件;1;5;6;59690;0.00010051934997487016
632;《一代奇女子》;1;3;4;59690;6.701289998324677e-05
634;登陆不了未知错误为什么啊;2;1;3;59690;5.025967498743508e-05
