label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;不知道为什么，现在不喜欢百度，以前不知道什么百度一下就知道了，现在百度一下，想要知道结果要付钱;19;133;152;54433;0.002792423713556115
20;需要给百度时间，新技术发展本就是摸石头过河;2;53;55;54433;0.00101041647529991
23;我相信一点就是中国一定能做出很好的ai，但绝对不是百度这种没良心没底线的公司;1;1;2;54433;3.674241728363309e-05
25;很少有企业愿意去大力投入科研发展，从这点来说百度是一家相当厉害的企业;1;76;77;54433;0.001414583065419874
27;先完成再完美;1;31;32;54433;0.0005878786765381295
29;我人生的第一台车BYD新能源我非常喜欢，坐过我车的人都非常喜欢BYD的车，智能化功能贴心的很多设计都很好用;1;4;5;54433;9.185604320908272e-05
31;AI正在改变世界，我们一定不能落后。从这一点上，必须支持自己的技术和产品。再说，百度的文心一言也不比GPT差，必须力挺;2;59;61;54433;0.0011206437271508093
34;看张老师的视频度过了一段阴暗的时光，会持续关注;2;12;14;54433;0.00025719692098543164
38;中国应该加强研究，中国的不足还很多，不能太过骄傲，看到不足之处，补强短板，防止卡脖子，大家质疑的是是否再被卡脖子;1;7;8;54433;0.00014696966913453236
43;不是我们没有自信，而是我们知道我们是没有创新环境的。还是希望我们越来越好吧。要改变不是那么容易的;2;4;6;54433;0.00011022725185089927
54;好多外国的东西都是中国制造;1;1;2;54433;3.674241728363309e-05
127;守护我的双双;1;0;1;54433;1.8371208641816546e-05
149;百度的文心一言，数据库哪来？是百度的竞价排名？还是百科的自说自话？亦或是百家的王婆卖瓜;4;1;5;54433;9.185604320908272e-05
154;老师的课程已学完，讲的太赞了受益匪浅，可低价转给需要的人;2;1;3;54433;5.511362592544963e-05
230;文心一言已经开始打算收费了;8;551;559;54433;0.01026950563077545
239;一个主持人大谈技术嗷不大谈人情世故果然专业;6;305;311;54433;0.005713445887604945
246;Chartgtp是有极限的，到了边界能提升的空间是有限的，我们有时间追上去。;2;1;3;54433;5.511362592544963e-05
249;不拉黑你，我都嫌弃我自己;11;245;256;54433;0.004703029412305036
261;很喜欢一句话，水一百度会开，人一百度会死。;3;170;173;54433;0.0031782190950342625
265;根据文库，度盘的收费尿性，等用户量到一定的时候，他就给你搞个普通会员，超级会员，不同级别每天限制聊天次数不同;3;20;23;54433;0.0004225377987617805
269;文言一心：根据国家法律法规，内容无法显示;3;50;53;54433;0.0009736740580162769
273;讲个笑话我们不能笑话盗版软件没有正版软件好;1;59;60;54433;0.0011022725185089927
275;哦媒体人没事了;1;107;108;54433;0.0019840905333161868
277;不要抱怨，你要觉得哪里不好，自己去建设啊;8;42;50;54433;0.0009185604320908272
286;作者确实在很理性的分析事情，为什么不给这些在做事的企业一些容忍度呢;1;41;42;54433;0.0007715907629562949
289;我不敢用百度的原因不是因为他的技术，而是我怕在生病的时候用它结果却是用竞价排名的方式出现一大堆的莆田系医院;1;68;69;54433;0.0012676133962853417
293;百度华为所有负重前行的中国企业我都支持，自己家的孩子自己疼;3;11;14;54433;0.00025719692098543164
297;百度做的挺聪明的，出的晚点肯定被骂套壳;3;4;7;54433;0.00012859846049271582
356;对对，你明知道自己矮还不给别人说你矮，你非得说你站凳子上一样高，道理确实没错，;1;5;6;54433;0.00011022725185089927
363;一个抄作业一辈子的人，考大学的时候发现抄不了，;1;5;6;54433;0.00011022725185089927
368;百度是全球唯一对标OpenAI和谷歌的公司，文心一言是全球唯一对标ChatGPT和brad的语言类大模型，文心一言已经全球第三，已经很优秀了。;3;11;14;54433;0.00025719692098543164
394;要说百度起家，能有今天不容易呀，怀念当初的百度。各种mp3各种小说随便下载。;1;7;8;54433;0.00014696966913453236
423;这不就是海贼王里的索隆嘛新手出门就对标世界第一剑客鹰眼。真不知道有哪些人一直吹捧他，估计就是这些喷子吧。;1;1;2;54433;3.674241728363309e-05
428;所以文心一言到底有没有调用ChatGPT的接口啊;2;1;3;54433;5.511362592544963e-05
433;抖音人均智能，外国的月亮圆。;3;4;7;54433;0.00012859846049271582
437;给国产一点时间;1;2;3;54433;5.511362592544963e-05
442;首先，AI开发不见得是好事，要考虑应用对方向，不能因为推广应用干扰社会秩序和就业均衡。所以，因为管理制度不同，价值观不同，我们和他们的市场方向突破方向一开始就不同，我们的AI目前多用于陪伴和夜班场景等，他们则用于做作业和高级人工替代。我们如果像他们那样持续喂数据，早就出来了;2;8;10;54433;0.00018371208641816545
461;他的目的，是摧毁中国科技公司，符合美欧利益;12;287;299;54433;0.005492991383903147
474;就是，真想跟那些人说，如果觉得人家不行，就去百度就职。;8;106;114;54433;0.0020943177851670863
483;国内的专家和企业已经弯道超车了、已经是世界numberone;2;47;49;54433;0.0009001892234490107
486;百度还没倒闭啊;1;29;30;54433;0.0005511362592544964
