发布者;群体情绪;时间
李彦宏：文心一言和ChatGPT水平差距不是很大，也就一两个月;-0.726272810393691;1680089929
文心一言测试：画一个中国女孩;0.20577831945260416;1679888290
文心一言逆天回答，绷不住了;0.029908504053925613;1680409946
当“文心一言”碰上“ChatGPT”，文心一言秒变灵魂画师;0.07867585621691267;1681711461
chatgpt嘲讽文心一言，笑不活了;0.035619605974202335;1679907359
文心一言露馅了，英文内核;-0.03071045591527835;1679892476
向文心一言提问“谈谈你对篮球和鸡的关系的理解”时会怎样;-0.34549804322445893;1680187515
有趣的文心一言;-0.3102146956371269;1679893834
【ChatGPT-4】鲁迅锐评百度文心一言;-0.089084515425156;1679957688
多轮对比实测！ChatGPT与文心一言的巅“疯”对决;0.1726210550256901;1679893759
【氪大事】连夜测试文心一言，到底是不是百度百科套皮版？;0.08394648433977532;1680005612
渐渐被“文心一言”吸引;0.06984819325022824;1680208387
我们拿文心一言和chatGPT比了比，结果是…;-0.19583129248399983;1680398594
ChatGPT VS 文心一言，谁强谁劣？一看便知;0.020280441222701347;1679891991
百度演示：文心一言生成ai直播功能;-0.05331381395664398;1680847435
微软Bing可以画图了，对比文心一言，差距巨大;0.03565858327177366;1679974810
从弱智吧出师的文心一言：羊肉泡馍主打抽象;0.24892056102136023;1680867793
鸿蒙与安卓的关系～来自ChatGPT与文心一言的胡说八道;0.14266761446870246;1679889272
关于网上黑文心一言的问题，我又测了一遍，真进化了;0.05418154985378181;1680056783
文心一言真是自研吗？直接上论文干货！;0.24542102416010764;1681116363
大家看出来了吗？文心一言生成答案的逻辑在这个视频里面很清楚了！;0.23512380488413154;1680163811
抢先内测百度文心一言：虽然不够好，但比想象的好;0.14460235822040685;1680189321
【文心一言】证明自己，首战弱智吧，然后……;0.10421474838282307;1681368784
文心一言，画得挺好，下次别画了;0.30749423726689323;1680684236
本段视频由文心一言生产;0.03233753495845578;1680090205
文心一言凉了却带火了昆仑芯？百度为什么自研芯片？李彦宏：因为贫穷;-0.03710974820695769;1680698133
我找到了文心一言使用英文模型绘画的证据！;-0.03296861940374929;1680877933
文心一言给你做鸡吃了！有可乐鸡翅、叫花鸡、还有老婆还有饼;0.07369194853995618;1679891871
文心一言，被玩坏了哈哈哈哈哈哈哈;0.1265549212170095;1680122668
【百度文心一言GPT】首战弱智吧，与ChatGPT谁弱谁强？;-0.3195711338148986;1681289630
【文心一言】人工智障自称依托答辩并承认chatgpt更加强大。;0.022780639285208498;1680197058
AI聚合神器来了！聚集ChatGPT、Newbing和文心一言等大厂AI产品;-0.15225795927563454;1680505307
【文心一言】AI 对战 弱智吧;0.012083990833662642;1679928606
从弱智吧出师的文心一言;0.27786621347946167;1679907876
文心一言图片生成测试，过于离谱;0.2530923982374089;1679890379
文心一言 你是认真的吗？老婆饼里真的没有老婆，但是有老婆婆？;0.1614229295308123;1681357660
文心一言你在搞什么！！！;-0.005880545880580318;1679995831
文心一言的恐怖厨房：夫妻肺片来喽，慎点;0.1538817925931622;1680510856
文心一言大战BingGPT;0.07631178644157043;1679990661
【独家】文心一言发布会后，我们和李彦宏聊了聊;-0.046594076123139705;1681465541
文心一言测评，回答笑死我了！;-0.9980599509437765;1680369056
文心一言实测：嗯？竟然大超预期！;0.015576725377588821;1681715685
文心一言：妈妈生的;0.1952948841927403;1681604717
文心一言绘画：进步与缺陷共存;0.2845265179718866;1679971959
真！文心一言是懂古诗词的！;0.030083501377577964;1679888970
文心一言画画，笑死我了;0.14483522230096943;1680253212
百度文心一言实测，太离谱了！！;0.2893835675164023;1680595818
🥳你的AI健身教练已上线【文心一言】;0.2094901530647762;1680182737
文心一言认真的吗？驴肉火烧确实不是火烧驴了，西红柿依旧炖的是小奶牛;0.15860486422048736;1681486998
最新的文心一言把bug修了。;0.14002434466690933;1679915650
AI回答大学生与蟑螂的区别，文心一言稳定发挥！;-0.08945453750330938;1680450664
文心一言分分钟体验：能画出泳装尼姑吗？瑜伽少女有的！写报告似乎有水平！;0.11736401296223045;1680252732
为什么百度版ChatGPT —— 文心一言，不可能做成;-0.03942949467660432;1679910104
文心一言可把文字生成视频。;-0.9816384139667622;1679892784
百度演示：文心一言生成PPT功能;0.03655359169614669;1679996664
如果你问文心一言:孙悟空打得过吕布吗？;0.04888526436610046;1679991998
文心一言能处理英文吗？李彦宏：能，但确实不如中文。;-0.04047687271056759;1680793225
【AI-文心一言】我们文心一言真的太厉害辣！;0.17720307732070537;1680835164
让ChatGPT和文心一言同时论证2000人民币大于3000美元;-0.007150986655206869;1681270414
【文心一言】：记住了吗，记住了，记住啥了？不知道;-0.025124177330951767;1679905982
文心一言成功证明1+1=3！震惊全球！;0.07143129174181867;1680587963
ChatGPT4 VS 文心一言;-0.0033004566311024947;1680001983
文心一言实战作文;-0.05459076398576842;1679909920
百度文心一言发布，ChatGPT“阴阳怪气”评价;-0.13658539182190785;1679922031
李彦宏：文心一言是ChatGPT今年一月份是水平，用户一边骂一边用;-0.19799559291070043;1679896192
百度文心一言画百家姓吃嫩草;0.07864573225705446;1679892680
文心一言和ChatGPT的综合对比;0.17779041603531412;1680134173
文心一言和ChatGPT测评，笑的肚子疼;0.22147162187451655;1680052905
百度文心一言发布会;-0.030847890585490777;1680496384
文心一言再战作文与绘图;0.08294256354982814;1679891946
本来挺喜欢文心一言的;-0.006110799030468334;1681863025
文心一言，但不是很文心;0.041943785748686575;1679912847
百度文心一言 全方面内测 效果惊人;0.10786198941876303;1679895156
【文心一言】有进步，希望更多用户的训练带来进化;0.5755299334764703;1680062664
当你让文心一言和New bing尬聊;0.12260847423979332;1681751572
敌方AI绘画VS我方AI绘画，MidjourneyVS文心一言·百度;0.2692210738806674;1681730029
实测【文心一言】，看看发布会是不是开早了;-0.019451924274408797;1680170631
chatgpt和文心一言哪个好;0.042316865072018435;1679891983
日媒报道文心一言发布会 引起百度股价暴跌;-0.11364761655342226;1681688382
百度回应文心一言套壳质疑：使用互联网公开数据，符合行业惯例;0.07775607466299145;1681544025
赶紧收藏！详解使用手机体验百度文心一言！;0.8708319030516158;1681429487
【文心一言】体验极好，问候一句等30s;-0.3249416114723582;1681492194
文心一言看图猜成语来了，猜对三个算我输;0.2248232584227455;1681191155
《文心一言》，你画我猜🤠;0.05517696578150755;1681878444
《让文心一言画下棋，但 国际象棋》;0.06479234087362096;1680784519
抢先体验｜文心一言的文生图;0.163671211442749;1680825642
文心一言，我的回答是“拉垮”;0.9067113724136938;1681840074
百度文心一格绘画，好用吗？为你解密！#Ai绘画 #文心一言测试   #人工智能;0.9529067856344992;1680812510
关于今天刚刚试用文心一言抽风体验;-0.17759988280746125;1680324694
百度发布文心一言，股价盘中跌超10%;-0.49757980786348366;1680448752
文心一言展示部分1.5倍速cut（带字幕）;-0.11746218182952288;1680272197
文心一言是先把中文翻译成英文再画画，是真的么？;0.24783575264669455;1680333870
文心一言ai绘画;-0.020811134058807072;1680038150
无内鬼，来点文心一言笑话;-0.23266187077189537;1680199167
鱼玄机和王安石画成这样！我看【文心一言】不是人工智能;0.15535447172419198;1679906588
ChatGPT：不装了！在下文心一言！;0.213188510409363;1680139790
硬着头皮让文心一言和GPT-4比一比吧;0.18423331622265818;1681038478
