发布者;群体情绪;时间
彩云小梦v2测试;0.09691304714532334;1670908137
当你让彩云小梦写出原子弹的材料;0.13125536055836373;------
当我尝试在彩云小梦里教外国角色说中文;0.21373804336233082;1643769867
把AI写的小说再交给AI批改会怎样？[彩云小梦];0.0672098169874021;1643970416
把彩云小梦续写的路全封死会怎么样？;0.16281558830870885;1643808079
彩云小梦，彩云天气，彩云小译。科技创新，永远是中国的骄傲！;0.3297733053059822;------
对彩云小梦的吐槽;0.24214670691492135;1661748933
彩云小梦调教二期;0.2969382751701178;1661506843
用彩云小梦续写兄妹互吃翔………..;0.06495971493505127;1661939276
当我输入“主角死了”后彩云小梦会怎样？;0.1652388353771147;1661749774
【彩云小梦】随机出的主仆play香死谁了;0.7125546366985437;1661854687
当我用彩云小梦续写我自己写的小说;-0.0688859359923112;1662338535
彩云小梦网址：http://if.caiyunai.com/dream/#/;-0.035990416341594375;1661756774
如何使用彩云小梦，撰写一部属于自己的小说。;0.1611764286309889;1666282576
在彩云小梦和15花开对话…;-0.4011848419403095;1669709344
彩云小梦怎么搞了个臭狐狸出来了（恼;0.1853144525967993;1666284052
为了不被差评，彩云小梦…;-0.016409323661681994;1665468734
【AI机器人】通过微信，去未来流浪——基于百度飞桨，彩云小梦与Wechaty的科幻机器人;0.035375972250127286;1662308167
当你用彩云小梦续写处罚条款;-0.5197108686383978;------
唐僧的实力有多强？AI认为可以大闹天宫！【彩云小梦的AI续写宇宙】;0.23726373094806452;1641375414
彩云小梦使用攻略;0.372759714692476;1642047492
彩云小梦使用浅谈;0.11748549136208623;1641304481
世界设定，自制，链接在简介。游戏名《彩云小梦》;0.210055224557891;1641812536
如何让彩云小梦的ai变成傻子;-0.4584265051914045;1639962976
【彩云小梦】传销失败的丘比;0.09341609563121679;1642343779
关于半夜用彩云小梦被吓出一身冷汗;-0.026971104479286852;1641883530
【彩云小梦】当你让AI教你写小说①;-0.6876635537355017;1639888721
彩云小梦，但是狠狠地殴打ai;0.3615941730068488;1641575037
[彩云小梦]当一个臭写文的深情人设开始对Ai仿生人展开职业素养;0.23289822027491058;1640707343
彩云小梦说我死了;-0.06098864988353423;1642258207
彩云小梦续写王爷本篇，结果尴尬了……;0.13494631376636096;1642254771
当你让彩云小梦滚出中国;0.08242197782383699;1660554345
病娇彩云小梦;0.29651283562852654;1641904095
当你用AI续写彩云小梦的警告会怎样;0.28929958814567824;1641611232
【搞笑／细思极恐】当我企图污染彩云小梦;0.22959779852854614;1641708190
当你问彩云小梦小梦1号和0号谁更帅时……;0.36499002224258065;1661309197
急眼的小梦，彩云小梦;-0.027673690158400953;1657588968
[墨言]彩云小梦小说生成器;0.21479585069811832;1655722811
【整活】当你命令彩云小梦销毁自己;-0.07151444200107923;1643702512
彩云小梦，不敢继续写了。;0.06709446992282156;------
彩云小梦，那种事情不要啊！;0.08042439652319784;1660317119
ai续写三国演义！！！笑死我了！！！【彩云小梦】;0.1837367116119191;1660534660
玩彩云小梦嗅到了一丝不对劲……？;-0.5725356712825415;1660182366
用彩云小梦续写全剧终会怎样？;-0.27002844298273376;1660836020
当你输入彩云小梦死了会发生什么？;-0.2901856938041258;1660843686
用彩云小梦写的两章两万字已经投到番茄小说上去了，静静等待能否签约，我觉得有点悬;-0.2043419976007518;1661085191
当我和彩云小梦谈恋爱！;0.158089006784318;1660905791
（彩云小梦）关于我把敌人聊成了恋人这件事;0.18594516315779408;1660975792
让彩云小梦算数学？;0.14073087539344442;1660656263
国内两大聊天AI那个更好？【彩云小梦】【Glow】;0.16165121700950946;1660569107
彩云小梦是不是用了娱乐圈渣男语录库啊？;0.10837606886342832;1660809916
终于知道彩云小梦长什么样了！;-0.30447669788278486;1660619525
[彩云小梦]什么时候地球online实装这款小男友，急😍;0.08664952320173168;1660574268
关于我在彩云小梦养了个虚拟饭桶这件事;0.12414146636625527;1660698546
AI真能写作了？彩云小梦深度分析;0.01676389604887948;1661354425
《让彩云小梦续写彩云小梦》;-0.3387707387247823;1660931896
彩云小梦对话复刻华强买瓜;0.1736369811881517;1660746587
大晚上被彩云小梦的AI对话给吓到了;0.09202327629452726;1660960932
彩云小梦是真人对话？;0.08897396709685379;1661848022
彩云小梦2.0，首次体验与ai聊天，有感觉了;0.08429390041606806;1661402350
彩云小梦 1.4 版本更新~来看新功能介绍吧！;0.016925957706602667;1667522838
TMD彩云小梦！说好的一百块！为什么还不交学费！;0.08194363453132175;1661228851
当glow用户去使用彩云小梦;-0.002300375122491821;1661141704
十年穿越，终能抵达一千个世界的梦想 - 彩云科技 2022 新品发布会回顾+精彩片段 | 彩云小梦;-0.024955330186873924;1661077480
彩云小梦史诗级重大更新，和你的定制角色打电话吧！;0.05070460521873329;1660986227
当你给彩云小梦输入“啊♂”……;0.23270480364443544;1660924285
彩云小梦VS Glow哪个是更好的聊天机器人？;0.030182704400269603;1660873537
当我向彩云小梦诈骗6000元;-0.03329789618946672;------
当我把彩云小梦NPC睡服后（我是女变态，我承认;0.02481696003211631;1670465378
当你用彩云小梦写黄文;0.034266952754831305;1670314948
当你试图用彩云小梦玩起人生重开模拟器;0.19875867254187882;1670252447
小梦原来真会写涩涩;0.21047653917824496;------
彩云小梦2.0的超级ai恐怖之处;-0.015896316243445622;1659573499
彩云小梦开车;-0.02220592491555528;------
彩云小梦骂人实录 真的不是真人吗？;-0.07200617333598006;1661789437
今天，我们体验了一下彩云小梦的人工智能...;1.0;1662225111
我用彩云小梦写的小说在番茄连载了？;0.7035512919721016;1669077845
试着用彩云小梦全程自编自演一个玄幻小说...过程给我看呆了;0.30822078692838806;1679922035
让你的彩云小梦续写一堆乱码;0.03227191537543336;1661784081
？？？  彩云小梦 你不对劲！;-0.07137896799091793;1661767858
彩云小梦，个人理解;0.03321703346544023;1661767830
震惊 利用彩云小梦与三体人对话！;0.059758405128674426;------
让彩云小梦来续写后室;-0.29769783184095805;1640827314
【『『彩云小梦』』】究竟是我疯了，还是Al疯了？;0.5592830373718536;1640826418
彩云小梦新版本试玩;0.5139348658813417;1641185496
让彩云小梦续写自己s了会怎样;0.1410581396786491;1641179748
彩云小梦你倒是说清楚谁不对劲啊！;-0.5640009740531645;1641198381
"ChatGPT与彩云小梦合写小说，主角被抓进""神秘避难所”接受改造";0.03117361297181414;1640500622
彩云小梦关于《消失的夫妻》的看法;0.6076913300403888;1641581462
【AI续写】当让AI知道自己是AI，并让AI续写自己的故事，我看哭了（彩云小梦）;0.1601880911631015;1641264441
把沈容儿的命运交给彩云小梦AI续写;0.16726045294504244;1641197533
在彩云小梦软件里“调戏”彩云小梦CEO，发现了不得了的上下级事情;-0.20199657853871697;1641211193
如果彩云小梦知道自己是AI会怎样？;0.7385632370527883;1641096587
当我下载个彩云小梦，它会给我写些什么呢🤣;0.2941963969019943;1641026706
【彩云小梦被ai惊到了;0.011923933768446585;1640542901
彩云小梦——一款AI对话+续写软件;-0.04831723906100327;1641122497
由彩云小梦续写的彩云小梦~;0.09721612217285047;1641044662
【彩云小梦】人工智障摆大烂;-0.11813525206849368;1640737171
AI彩云小梦中的少年阿滨，哈哈哈哈@彩云小梦;-0.18703166212469982;1643097038
嘶，有点害怕，彩云小梦有点太;-0.04738791880271103;1641026881
彩云小梦出品果然不同凡响！;0.20853738757169446;1640525249
[彩云小梦]写作还就内个开摆;0.5023869508273652;1642988289
【彩云小梦】我是男的！！？;0.19878825442865072;1642377501
用彩云小梦写三个小猪会发生什么样的事呢;0.016752196869246814;1642313050
ai续写沙雕玛丽苏小说开头——彩云小梦;0.3243048471541914;1641958008
让彩云小梦写≤;-0.2232497940664239;1641824035
小梦的心里话;-0.0009798757793062093;1641744834
