发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
李彦宏：文心一言和ChatGPT水平差距不是很大，也就一两个月;0.054808250250567;-0.1092506967623012;0.4142811063456378;-0.07459989745443155
文心一言测试：画一个中国女孩;0.0142955108930737;0.2310239550563717;0.410340861745085;0.1545827417411559
文心一言逆天回答，绷不住了;0.0154560320725853;0.0414159391550749;0.3946988181445876;0.026668599970407804
当“文心一言”碰上“ChatGPT”，文心一言秒变灵魂画师;0.017513319618083;0.1869135571083593;0.4178286358401735;0.12744954109322523
chatgpt嘲讽文心一言，笑不活了;0.0194123542754655;0.1189847671589441;0.4001392973189466;0.07775327329309227
文心一言露馅了，英文内核;0.0151131508150023;0.0314262879140275;0.4023844836134665;0.02062644123535623
向文心一言提问“谈谈你对篮球和鸡的关系的理解”时会怎样;0.0001055019254101;-0.3454552720717876;0.6156928926360016;-0.34549804322445893
有趣的文心一言;2.637548135253468e-05;-0.3101690117760243;0.6157161369689031;-0.3102146956371269
【ChatGPT-4】鲁迅锐评百度文心一言;0.2084981800917866;0.160472138464975;0.4410515657860081;0.12100491272083388
多轮对比实测！ChatGPT与文心一言的巅“疯”对决;0.0220499024107189;0.2901427059138051;0.4004399733637805;0.18988010485070858
【氪大事】连夜测试文心一言，到底是不是百度百科套皮版？;0.277179933533787;0.1323358895048825;0.555971895964651;0.1261323982922772
渐渐被“文心一言”吸引;0.0462889697736983;0.068422661109212;0.3766189425559728;0.042430114123978305
我们拿文心一言和chatGPT比了比，结果是…;0.0046420847180461;-0.234066253980627;0.5367556462938958;-0.20427438553789118
ChatGPT VS 文心一言，谁强谁劣？一看便知;0.0803397161998206;0.1072891500740503;0.4041509222367347;0.07198943471609501
百度演示：文心一言生成ai直播功能;0.0045629582739885;-0.0499115289741698;0.4277344234567661;-0.03471929528962369
微软Bing可以画图了，对比文心一言，差距巨大;0.0161945455504562;0.0092740579843417;0.4072177501162118;0.00616158830646714
从弱智吧出师的文心一言：羊肉泡馍主打抽象;0.0685235005538851;0.287832762366114;0.3913245451170234;0.18652080496549356
鸿蒙与安卓的关系～来自ChatGPT与文心一言的胡说八道;0.0105238170596613;0.2619073541557876;0.3896868768444215;0.16628230863994292
