一级评论;实际爬取到的二级评论内容;单条评论情绪值;一级评论平均情绪值
AI写出来的，给AI看，凑DAU，AI刷流量，卖给AI投放;闭环了;0.14612565721681858
-------;--------;--------;0.14612565721681858
难怪uc上的推文好多都是莫名其妙的水文。;可能都是这么来的;0.10242200328407236
难怪uc上的推文好多都是莫名其妙的水文。;哈哈哈;0.7368421052631582
难怪uc上的推文好多都是莫名其妙的水文。;也有人工洗稿的，按字数收钱;-0.33735632320500697
难怪uc上的推文好多都是莫名其妙的水文。;洗稿;0.0
-------;--------;--------;0.1254769463355559
1写作猫2智能文案改写3文章智能续写;我去试过一下感觉还是继续用wps吧，毕竟买的会员还没用完，这个ai续写也很智障，意义不大。;0.5210314457400904
1写作猫2智能文案改写3文章智能续写;0;-0.9310344827586206
1写作猫2智能文案改写3文章智能续写;回复十月的羽功能不一样，wps基础能力，这个用来全文纠错和调整比较合适;0.9662719234264958
1写作猫2智能文案改写3文章智能续写;回复不务正业小木免费版的纠错还是差了点意思，不知道付费版怎么样。;-0.9911339320498009
1写作猫2智能文案改写3文章智能续写;第一个要钱的;-0.360292331616761
-------;--------;--------;-0.15903147545171925
感谢up，我是个新手把每个篇章Boss战和大结局全想好了。可就是不知道该怎么水日常凑字数，好人一生18胎doge;哈哈哈哈哈哈18谢谢你阿;0.9648859842436279
感谢up，我是个新手把每个篇章Boss战和大结局全想好了。可就是不知道该怎么水日常凑字数，好人一生18胎doge;明明是好人18亿个崽儿tvdoge;0.8692454604129718
感谢up，我是个新手把每个篇章Boss战和大结局全想好了。可就是不知道该怎么水日常凑字数，好人一生18胎doge;ai水字数真的一绝啊;0.07499917955928814
感谢up，我是个新手把每个篇章Boss战和大结局全想好了。可就是不知道该怎么水日常凑字数，好人一生18胎doge;同上;0.019810152703260808
-------;--------;--------;0.48223519422978717
