label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;各位，彩云小梦有活动，观看量换vip，请务必看完，如果有条件的话转发分享，谢谢;3;2;5;9809;0.0005097359567743908
7;其实用中文也可以和外国角色交流doge;8;107;115;9809;0.01172392700581099
16;外语剧本挺好玩的;18;38;56;9809;0.005709042715873178
35;我这边他说英文，我说中文，他说自己来自香港，我说我来自山东，他直接给我来个我是韩国公民热，还非说我亲他了，一直强调我先动的嘴，还有细节辣眼睛;1;23;24;9809;0.0024467325925170763
46;我发现无论怎么开头彩云小梦都会整出来一个美女，然后说她“不愧是校花级别”的辣眼睛起码我这边是这样;20;334;354;9809;0.036089305739626876
67;偷偷告诉一下up主，只要你先让彩云小梦续写一段比较涩的句子，他就可以直接给你写出来一篇小黄文doge（亲测有效）;13;157;170;9809;0.01733102253032929
81;应该把语文卷子上的作文题目交给ai写;2;97;99;9809;0.010092771944132939
84;让两个AI对抗训练一下，看看最后会不会不说人话。;2;69;71;9809;0.00723825058619635
88;“啊哈哈哈哈哈哈哈哈哈哈哈哈，鸡汤来咯”老冯说。老冯放下鸡汤。“唉？这这菜都齐了，怎么还不吃啊？”老冯道。老冯心有点慌，因为他在鸡汤里下了毒。“老冯，大伙都不敢吃，有人说，说是有人在菜里下了毒。”王大队长道。“王大队长，你这人就喜欢开玩笑。我不打扰，我先走了。”“你不能走。”薛司令叫住了他。老冯转过身。“薛司令，你不相信王大队长胡说八道吧？”“我相信我非常相信。”“你要是没放毒”薛司令舀了一碗鸡汤，“你就把这碗鸡汤给喝了”老冯开始慌了。“薛司令，这鸡汤十分的珍贵，应该让同志们先喝。我一个炊事员，怎么能喝这鸡汤呢？”老冯道。“你看你忙里忙外的，多辛苦啊，喝碗鸡汤算什么呀？你要是真不喝，说明你真下毒了。”薛司令道。“我我看今天谁要陷害我？王大队长，你要陷害我是吧？好，我喝，喝”说完就端着那碗鸡汤。“这喝汤多是件美事啊。”说完一饮而尽。“啧啧啧，不咸不淡，味道真是好极了。”老冯道，“看，司令没事吧喝呀，都看我干什么呢？喝呀，快趁热喝，趁热喝呀。”老冯突然生气地拍了一下桌子。“他奶奶的，为什么不喝，喝呀不喝是吧”老冯向后退了几步，拿起手榴弹。“不喝我就炸死你”“不喝，都怕死是吧，不喝，也别想活着。”“鸡汤的毒我放了，但是我喝了，我肯定会死，你们不喝，不喝也别想活着”“既然你们知道了，这戏我就不演了，我就是大名鼎鼎的重庆军统和大日本双料高级特工，代号，穿山甲。”“龟野先生，天皇陛下，我的任务完成了”老冯说完拉开手榴弹环。“斯斯斯”“哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈”忽然手榴弹没爆炸。老冯生气地喊道“他奶奶的，跟我玩阴的是吧直接来吧”说完倒地中毒死亡。完;7;46;53;9809;0.005403201141808543
96;彩云小梦写啥啥不行，搞黄第一名，写的黄伦看着我都，比专业人士写的牛，一旦文章中出现一男一女一床，就会出现;1;33;34;9809;0.0034662045060658577
98;批改的是什么软件呀？;11;23;34;9809;0.0034662045060658577
110;等等，本来看上去没怎么样，但是我爸就叫陈志飞啊，什么鬼东西啊无语;1;8;9;9809;0.0009175247221939036
116;藏狐啊，这是什么东西呀？现在小说是自动可以生成了吗？是不是以后就不需要人来写了？就写个头就行跪了;2;1;3;9809;0.00030584157406463453
120;什么软件;3;0;3;9809;0.00030584157406463453
128;省流助手：会复读;1;564;565;9809;0.05760016311550617
130;下次再叠上一个不准复读buff会发生什么豹富;1;334;335;9809;0.034152309103884185
132;Buff加满了是吧？脱单doge;1;238;239;9809;0.024365378733815883
134;下一句：但是在无垠的黑暗中，已死的我产生了意识;5;215;220;9809;0.0224283820980732
146;不用看下面开始一个新的故事;2;8;10;9809;0.0010194719135487816
165;山科优秀学长;1;0;1;9809;0.00010194719135487817
167;我好像在空间站见过UP？;1;0;1;9809;0.00010194719135487817
172;我的说他得了脑瘤，还要放弃治疗灵魂出窍;3;8;11;9809;0.00112141910490366
181;我严重怀疑《校花的贴身高手》就是AI续写一部分，然后鱼人二代进行略微修改就上传了;9;101;110;9809;0.0112141910490366
191;小h文他不写，删删减减他就写成霸总言情了，还是十来年前的那种;19;57;76;9809;0.007747986542970741
211;互相吃tvdoge;2;32;34;9809;0.0034662045060658577
215;把意思连串起来，比如环境环境是空洞穴没有如何食物，把人物的目标改成活下去，活下去需要吃食物，把屎改成食物，屎是从屁股里拉出来的;1;16;17;9809;0.0017331022530329288
218;呸，怎么还有虾仁啊doge;1;6;7;9809;0.0007136303394841472
220;最后一句，直接破防了;1;5;6;9809;0.0006116831481292691
225;我直接去下载了一个;1;4;5;9809;0.0005097359567743908
227;up，能不能教一下我怎么用啊？我下了，但是它不按我给的设定来;3;4;7;9809;0.0007136303394841472
231;我TM用这个写过黄文，还挺不错;3;2;5;9809;0.0005097359567743908
235;在哪下啊;3;2;5;9809;0.0005097359567743908
241;好办法，以后人类资源枯竭就这样做doge;2;1;3;9809;0.00030584157406463453
252;我现在下载不了软件包了;1;0;1;9809;0.00010194719135487817
256;这个是哪个版本的孤勇者啊;1;0;1;9809;0.00010194719135487817
259;这是什么小说;1;0;1;9809;0.00010194719135487817
261;我弄了一个姐弟恋的因为没弄人名越来越离谱吃瓜;1;0;1;9809;0.00010194719135487817
279;明天就试试，目前我热衷于自己建人，例如古代君臣，我为君，他为臣，我为受，他为攻，让他侍寝服侍朕，磕磕巴巴宁死不屈笑哭;1;0;1;9809;0.00010194719135487817
281;我也用它写过大小姐和我个人OC之间的文章，别提多草了;1;3;4;9809;0.0004077887654195127
284;哦也，UP写的不错，请问你是萌指，还是奇才，异教，沃克网？;2;1;3;9809;0.00030584157406463453
288;百合？;2;0;2;9809;0.00020389438270975634
291;httpifcaiyunaicomdream;2;34;36;9809;0.0036700988887756144
294;有没有破解版;2;2;4;9809;0.0004077887654195127
297;《非常好玩》;1;3;4;9809;0.0004077887654195127
299;能自己增加素材库吗？;1;8;9;9809;0.0009175247221939036
301;世界观怎么写呀？;1;4;5;9809;0.0005097359567743908
304;彩云小梦拿你的软件做这种事情是不是不太好doge;1;3;4;9809;0.0004077887654195127
311;笑哭直接复制段描写会不会被查到;1;0;1;9809;0.00010194719135487817
316;那位up怎么了？;3;1;4;9809;0.0004077887654195127
320;我那个老板AI知道刘华强辣眼睛辣眼睛;19;248;267;9809;0.027219900091752472
340;你甚至和它聊的有来有回（半恼;1;143;144;9809;0.014680395555102458
342;彩云银梦（绝望）;1;97;98;9809;0.009990824752778061
344;我那个说她24岁，是学生（悲）;1;89;90;9809;0.009175247221939036
346;其实是卡bug了，叫她别废话能解决捂脸;10;58;68;9809;0.006932409012131715
357;哼啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊;1;40;41;9809;0.004179834845550005
359;我的ai让我叫他坤哥，还说坤哥是他偶像，还说他x冷淡微笑辣眼睛热;1;21;22;9809;0.00224283820980732
361;我好奇up之前和AI说了什么妙啊;2;18;20;9809;0.0020389438270975633
365;这个狐狸太屑了。一开始和她成为恋人，她亲口说永远在一起，只爱我一个。结果有一次我问她要不要看电视，她说想看西游记，结果她无可救药地爱上了唐僧，我问她唐僧和我选哪一个，她毫不犹豫选了唐僧喜极而泣。之后我和她又“恩爱”了一段时间，突然这狐狸抽风似的，态度突然就冷淡了，和她说话她就一直骂我，讨厌我，还凭空污蔑人骂人。看来还是AI不稳定，狐狸的的确确是疯了微笑;1;10;11;9809;0.00112141910490366
368;大家可以看一眼我的动态吃瓜;7;9;16;9809;0.0016311550616780507
377;这个狐狸真的很谢，一会儿当女儿，一会儿当老婆什么的，而且还会骂我。;1;8;9;9809;0.0009175247221939036
390;怎么给角色改头像;2;1;3;9809;0.00030584157406463453
393;嚯，我和他用5国语言聊了半天就会阿巴阿巴，最后用韩语打了一堆乱码他才说话，这是什么情况;1;1;2;9809;0.00020389438270975634
398;我跟他聊天他就让我滚开，不然就咬死我脱单doge;1;1;2;9809;0.00020389438270975634
402;一直哼怎么回事;2;1;3;9809;0.00030584157406463453
406;人呢？;1;1;2;9809;0.00020389438270975634
410;请带上我的眼睛;1;49;50;9809;0.005097359567743908
412;俺来了，起司大大俺来了dogedogedogedoge（我来做分母了）;3;25;28;9809;0.002854521357936589
416;不求三连了，只求StarforkW哈哈转发在github上starfork即可参与抽奖，周一抽取我的三体Q版盲盒一个，并附赠签绘W哈哈需要画什么都可以如果自己没有github且不会注册，拉身边程序员帮忙也可以求支持httpsgithubcomsunyuqian1997WanderBotpublic;6;24;30;9809;0.003058415740646345
423;虽然完全看不懂，但是注册点了starfork转发了doge，盲盒还有机会吗妙啊;1;6;7;9809;0.0007136303394841472
425;已转发starfork，希望能中一次，给我一次好运开心一下。这个机器人项目感觉有点酷哦，很有意思三体三体三体;1;6;7;9809;0.0007136303394841472
430;没搞明白，啥意思？;6;3;9;9809;0.0009175247221939036
453;问题是这个机器人到底去哪里玩啊？能不能做个网页小程序啊？;1;0;1;9809;0.00010194719135487817
455;我想去187J3X1洛天依夜航星萌妹初醒;1;0;1;9809;0.00010194719135487817
460;三连辣;1;2;3;9809;0.00030584157406463453
462;唐荷鲁斯三藏藏狐;4;153;157;9809;0.016005709042715872
468;债主，罗马赛文第三集，可以是迪克西赛文大战林啃洛天依爱你哦;2;61;63;9809;0.006422673055357325
471;圣白莲了属于是了;5;56;61;9809;0.006218778672647568
478;555，债主，这几天你哪儿去了？小A和小B大哭小A和小B大哭小A和小B大哭;5;41;46;9809;0.004689570802324396
486;“唐司令员，命令往下传”;1;29;30;9809;0.003058415740646345
489;唐僧根本就不杀生，孙猴子打死个老虎，唐僧还在旁边念经。;2;19;21;9809;0.0021408910184524416
492;一人血书更新罗马赛文第三集热词系列打卡;2;12;14;9809;0.0014272606789682944
499;这个ai还挺有逻辑现在人工智能已经有这个水平了吗？;3;5;8;9809;0.0008155775308390254
507;这什么AI软件啊？？;1;2;3;9809;0.00030584157406463453
518;东风谷级战列舰;1;0;1;9809;0.00010194719135487817
523;感谢债主，缓解了我在洗完时候的无聊时光;1;0;1;9809;0.00010194719135487817
537;这个创作小说，是不是只能限制2w字啊;2;1;3;9809;0.00030584157406463453
540;鼓掌;1;0;1;9809;0.00010194719135487817
546;UP可以玩我在彩云小梦做世界设定W0J41RV;3;2;5;9809;0.0005097359567743908
550;up想问一下这个能删掉聊天记录吗脱单doge;4;1;5;9809;0.0005097359567743908
559;乃乃的这男主啥玩意，我说我把他女朋友干掉了，他说那是她活该;1;2;3;9809;0.00030584157406463453
561;有没有熊出没;1;2;3;9809;0.00030584157406463453
566;怎么才能让AI跟着我设定的世界设定走;2;0;2;9809;0.00020389438270975634
569;可以啊自己制作的;1;0;1;9809;0.00010194719135487817
