label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
28;一起走进2058，逐梦未来成都[心]！;1;0;1;5762;0.00017355085039916696
30;[话筒][话筒];1;0;1;5762;0.00017355085039916696
32;[话筒][话筒];1;0;1;5762;0.00017355085039916696
34;关注;1;0;1;5762;0.00017355085039916696
36;和@锦绣青羊 一起关注[心];1;0;1;5762;0.00017355085039916696
38;[话筒][话筒];1;0;1;5762;0.00017355085039916696
40;关注热点;1;0;1;5762;0.00017355085039916696
42;[话筒][话筒];1;0;1;5762;0.00017355085039916696
44;关注热点;1;0;1;5762;0.00017355085039916696
46;[给力][太开心][奋斗];1;0;1;5762;0.00017355085039916696
48;[话筒][话筒];1;0;1;5762;0.00017355085039916696
50;ai字幕怎么操作了？不会[泪];1;0;1;5762;0.00017355085039916696
52;生肉在哪看啊;1;0;1;5762;0.00017355085039916696
122;最近用ChatGPT检查语法很香，节省很多精力[开学季];1;0;1;5762;0.00017355085039916696
125;ai字幕咋搞[泪];2;0;2;5762;0.0003471017007983339
128;姐妹们有没有链接;1;0;1;5762;0.00017355085039916696
130;这是B站直播吗;3;0;3;5762;0.0005206525511975009
135;英特尔Evo我最喜欢的功能，那必然是超能AI;1;7;8;5762;0.0013884068031933356
137;好多人都在看三体。;1;7;8;5762;0.0013884068031933356
139;看到EVO总想起三星硬盘;1;7;8;5762;0.0013884068031933356
141;没会员[允悲];1;7;8;5762;0.0013884068031933356
143;英特尔很棒;1;7;8;5762;0.0013884068031933356
145;三体[汗]可惜了;2;7;9;5762;0.0015619576535925027
148;林永健[费解];1;7;8;5762;0.0013884068031933356
150;这广告植入[good];1;7;8;5762;0.0013884068031933356
152;英特尔真不错发[心][心][心];1;7;8;5762;0.0013884068031933356
154;还没看;1;7;8;5762;0.0013884068031933356
156;三体有点难懂;1;7;8;5762;0.0013884068031933356
158;evo小蓝标 厉害了👏👏👏;1;7;8;5762;0.0013884068031933356
201;流浪地球2真的是很好看的一部电影，科技感满满[赞];10;23;33;5762;0.005727178063172509
212;科技感满满，看得我好想去成都看看[苦涩][苦涩];5;22;27;5762;0.004685872960777508
218;成都未来充满科技感，看着就很期待啊[打call]未来更好啊;3;13;16;5762;0.0027768136063866713
222;感觉未来科技会给我们带来更多的震撼啊 可以，期待一下;1;7;8;5762;0.0013884068031933356
227;哇，是体验穿越的感觉吗？我想试试;1;2;3;5762;0.0005206525511975009
229;我倒是觉得科技进步太快会给人类带来更多的负面东西，踏实的活着不好吗[允悲];1;2;3;5762;0.0005206525511975009
236;科技创新真的越来越强了;1;4;5;5762;0.0008677542519958348
248;http://t.cn/A69gMJLg[鼓掌];1;1;2;5762;0.0003471017007983339
250;哇哦;1;1;2;5762;0.0003471017007983339
252;下午好;1;1;2;5762;0.0003471017007983339
254;一切的一切都导向这样一个结果，物理学从来就没有存在过。;1;1;2;5762;0.0003471017007983339
256;英特尔不错;1;1;2;5762;0.0003471017007983339
258;下午好~~~[作揖]~~~~;1;1;2;5762;0.0003471017007983339
260;人生总有不期而遇的温暖，和生生不息的希望——高宁;1;1;2;5762;0.0003471017007983339
262;我掀起山河奔向你，踏进星辰来访你;1;1;2;5762;0.0003471017007983339
264;好东西;1;0;1;5762;0.00017355085039916696
266;周二愉快[心];1;0;1;5762;0.00017355085039916696
268;🍬我的岁月因你而温暖☼ (˘͈ᵕ ˘͈❀) ♡ ༘⋆;1;0;1;5762;0.00017355085039916696
270;当你发现自己每一天都在变得更好，就是最值得庆祝的事。;1;0;1;5762;0.00017355085039916696
272;想要问问你敢不敢 一起做13分14秒的摩天轮 一生一世 --;1;0;1;5762;0.00017355085039916696
274;感谢分享;1;0;1;5762;0.00017355085039916696
276;立春快乐;1;0;1;5762;0.00017355085039916696
278;[努力];1;0;1;5762;0.00017355085039916696
280;颜值还挺高的;1;0;1;5762;0.00017355085039916696
282;英特尔超薄本[哇];1;0;1;5762;0.00017355085039916696
284;种草了[打call];1;0;1;5762;0.00017355085039916696
286;优秀优秀[兔子];1;0;1;5762;0.00017355085039916696
288;你是这白开水一样淡的日子里偷偷加的一颗糖🍬(*/ω＼*);1;0;1;5762;0.00017355085039916696
290;在为梦狂奔的路上，有风急雨骤，有孤夜寂寥。不要怕，回头看看，家人就在身后，打着那束温暖的光 --  《你好，生活》;1;0;1;5762;0.00017355085039916696
292;早安花香;1;0;1;5762;0.00017355085039916696
294;这是又有新的吗[哇];1;0;1;5762;0.00017355085039916696
296;英特尔不错;1;0;1;5762;0.00017355085039916696
298;晚安;1;0;1;5762;0.00017355085039916696
300;听说很不错;1;0;1;5762;0.00017355085039916696
302;不错不错;1;0;1;5762;0.00017355085039916696
304;晚上好，花香;1;0;1;5762;0.00017355085039916696
306;[鲜花][鲜花][鲜花]英特尔不错哒[鲜花][鲜花];1;0;1;5762;0.00017355085039916696
308;愿你有坚定立场，穿越风沙和迷茫[奋斗];1;0;1;5762;0.00017355085039916696
310;午好[抱一抱];1;0;1;5762;0.00017355085039916696
312;英特尔电脑真不错一起来看吧！;1;0;1;5762;0.00017355085039916696
314;看科幻片不错;1;0;1;5762;0.00017355085039916696
316;洋洋洒洒;1;0;1;5762;0.00017355085039916696
318;晚上好;1;0;1;5762;0.00017355085039916696
320;智能方便[心];1;0;1;5762;0.00017355085039916696
322;互？？;1;1;2;5762;0.0003471017007983339
324;元宵节快乐;1;0;1;5762;0.00017355085039916696
326;[doge];1;0;1;5762;0.00017355085039916696
328;真的很不错;1;0;1;5762;0.00017355085039916696
330;中午好[心];1;0;1;5762;0.00017355085039916696
332;确实不错 英特尔evo超薄本;1;0;1;5762;0.00017355085039916696
334;早上好[心];1;0;1;5762;0.00017355085039916696
336;英特尔真牛[威武][威武][威武];1;0;1;5762;0.00017355085039916696
338;续航能力很强[打call];1;0;1;5762;0.00017355085039916696
340;确实不错;1;0;1;5762;0.00017355085039916696
342;下午好;1;0;1;5762;0.00017355085039916696
344;很不错[doge];1;0;1;5762;0.00017355085039916696
346;[给力][给力];1;0;1;5762;0.00017355085039916696
348;中国的计算机还是要努力的。;1;0;1;5762;0.00017355085039916696
350;不错;1;0;1;5762;0.00017355085039916696
352;棒棒哒;1;0;1;5762;0.00017355085039916696
365;开学了，微博画风急转直下[喵喵];1;0;1;5762;0.00017355085039916696
367;救命哈哈哈哈哈哈，这条微博在我首页飘了一天了，我刚发现是你发的。;2;5760;5762;5762;1.0
370;打开微博500+吓得我我以为被盗号了，没想到是你火了[doge]我今天连着看了两场还和两个人讲了这个[喵喵];3;733;736;5762;0.1277334258937869
379;昨天试了一下，牛批;1;0;1;5762;0.00017355085039916696
381;get了;1;0;1;5762;0.00017355085039916696
385;超喜欢你的文字，常常能够促使我自省并提供新的工作灵感。;1;2;3;5762;0.0005206525511975009
387;限制中国，俄罗斯，埃及，乌克兰少数几个国家，感觉真的被针对到;1;4;5;5762;0.0008677542519958348
389;Google health主要是遭遇了法律问题。训练AI需要真实数据投喂，患者的数据只能来自医院，但医患保密协定是不可撼动的。英国法院裁定，把患者的诊断数据提供给第三方的行为是非法的。用于训练的病例以百万为单位，deepmind也没法挨个找患者签许可。最后各方都感觉没啥意思，就先放弃这块了。;2;6;8;5762;0.0013884068031933356
450;你想做什么，ChatGPT都能帮你实现，而且比你做得更好，所以，你觉得人工智能（AI）会取代人类吗？或者人类的生存会受到AI的威胁吗？;19;59;78;5762;0.013536966331135023
470;人工智能会让生活更方便;32;30;62;5762;0.010760152724748352
503;科技改善生活，人工智能便利生活;10;13;23;5762;0.00399166955918084
514;到时候能用的上吗;7;7;14;5762;0.0024297119055883376
522;人工AI智能估计是未来的大趋势。;3;2;5;5762;0.0008677542519958348
526;人工智能改善生活便利生活;2;3;5;5762;0.0008677542519958348
530;有点想试试这个了;1;1;2;5762;0.0003471017007983339
532;这么多，感觉科技进步好快;1;1;2;5762;0.0003471017007983339
537;现在的人工智能太强大了;1;1;2;5762;0.0003471017007983339
546;某一些场合用挺方便的，但是不能完全依赖这个东西吧;1;1;2;5762;0.0003471017007983339
576;这个人工智能聊天不咋地我觉得，每次我跟Siri聊天的时候都牛头不对马嘴得[汗];1;1;2;5762;0.0003471017007983339
599;哇，我也想试一试怎样;1;0;1;5762;0.00017355085039916696
628;科技服务于社会，各行各业智能化程度越来越高，聊天机器人都诞生了;2;1;3;5762;0.0005206525511975009
635;就想知道这个机器人多少钱[吃瓜];1;3;4;5762;0.0006942034015966678
637;这个在未来应该会被广泛使用[doge];1;1;2;5762;0.0003471017007983339
639;AI科技发展太快了;1;2;3;5762;0.0005206525511975009
641;那不一样啊可[doge]，福利姬是实体的，可以扩展线下，也可以画线下饼[doge];2;10;12;5762;0.0020826102047900035
644;[吃惊]这是ai;6;7;13;5762;0.0022561610551891705
