发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
第122集 | 百度的文心一言,值得所有国人点赞 #文心一言 #中国 #百度;0.0288734560598173;0.0664435844530152;0.594600292464869;0.061775919706841875
#什么事你可以坚持10年 #文心一言 #chatgpt 有人说文心一言和Chat Gpt相比真丢人，但我觉得说这话的人也不咋的，因为出发点就是错的;0.0457917277932894;0.0231628134868441;0.4996534575059313;0.018182951292910164
文心一言，AI绘画体验，割裂感很严重，理解能力只能打1分！！！#AI #人工智能 #文心一言;0.0083112488760588;0.0900256413938661;0.4467444121704239;0.062679608791148
第3集 | 文心一言内测，绘画功能欣赏。#ai绘画 #openai #chatgpt #文心一言;0.020532629785623;0.0813806347049288;0.4621857052450102;0.05878684476401467
让百度 AI 画“起重机”，为啥它画出个“鹤”？好诡异...#文心一言;1.0;0.0869107591133508;1.0;0.15018797012802187
文心一言碾压GPT4.0的七大瞬间 #gpt4 #chatgpt #文新一言 #AI;0.001952108276939;-0.0497171687281101;0.4928255008138639;-0.03812367624379382
如何看待百度的文心一言和chatGPT #科技 #chatgpt #人工智能;0.0126354644834603;0.0286377554329649;0.519234036942184;0.023188835184062437
第2集 | GPT-4:全世界都在讨论的焦点，文心一言正面迎战chatGPT #openai #chatgpt4 #gpt4 #aigc一步之遥;0.0477911599072452;-0.0013520474845145;0.520435503603833;-0.0011055330537764064
#文心一言作画脑洞有多大 没有一个是不好笑的，我说别太离谱啊喂;0.0369421702711655;0.0816831749938614;0.4509651917812973;0.057811576567499696
AI跟AI是不一样的#gpt4 #newbing #文心一言;0.0176399602479769;-0.1449733567890813;0.4743005273333068;-0.10738333635465738
文心一言初体验，居然有错别字？ #文心一言 #百度文心一言 #人工智能 #AI聊天;0.0012599971605697;-0.0724877324924112;0.5083603928608024;-0.05732709317413771
收到了邀请码，实测体验百度文心一言，从程序、图像、文案、歌词、问答五个角度，感受到了人工智能助力创意的新高度！未来已来，我们并不落后，要相信国产一定会更好！ #木子淳;0.048110595807108;-0.0141204010750329;0.5080779746356623;-0.011275270531849154
#李彦宏 ：#文心一言 有些地方做的比 #ChatGPT好#百度 #科技 #人工智能;0.0121326487151578;-0.0479148331412152;0.453668034597857;-0.033907897682947434
中国AI，要和全球巨头掰手腕！#文心一言 #chatgpt #openai;0.0631004211821494;0.0166628357661999;0.582211285679452;0.015269763420858272
第90集 | 文心一言与GPT-4对比实测，抢先了解！ #文心一言 #ChatGPT #GPT4 #人工智能 #百度;0.0131087028536273;0.094462166900323;0.4703513030294583;0.069314988825301
文心一言出道被锤！无力吐槽，差距究竟有多大？#财经 #经济 #金融 #我要上热门;0.0261996592683734;0.0954640190116352;0.4928216194160414;0.0736023004849152
#OpenAI推出GPT4，文心一言能否杀出重围#ChatGPT#百度#文心一言#热点知多少;0.0283588093322606;0.0218624275057705;0.5237108247333987;0.0179142739143819
网传文心一言是套壳AI，百度：再给文心一言一点时间吧 #文心一言;0.0456142634044768;0.1037078289329853;0.4861340561544217;0.07922751874692747
第7集 | 亲测一下文心一言的图片功能#文心一言 #人工智能 #chatgpt聊天;0.0003253513794898;-0.6985436120951669;0.9204184247866912;-1.0
文心一言，让百度先跌后涨#财经 #科技 #人工智能 #aigc;0.1667869480857507;-0.0721692795899178;0.524301392709956;-0.06092884508296659
文心一言1月前表现vs现在表现，下个月能否追上GPT4，拭目以待！#谁在神话ChatGPT #文心一言 #AI;0.0003667597368794;0.0199264629413403;0.5374309180657951;0.016656736158130025
百度文心一言 完胜 ChatGPT 的 一个细节，你知道吗？#ChatGPT #文心一言;0.0017095736122284;-0.4448545327775959;0.7358280551480979;-0.5092260050782933
第19集 | 国产Ai到底能用吗？今天有了答案#人工智能 #大数据让我们相遇 #有ai就有无限可能 #颠覆你的认知 #文心一言;0.004898017131229;-0.2123052513906552;0.4438183302134378;-0.1467243874180198
正视差距、多些耐心，孩子还是自己的好 #ai #百度 #文心一言语 #chatgpt;0.0233720600066253;0.2442076834692137;0.4585666511790908;0.17515333398556185
第10集 | 如何使用百度文心一言？国产chatgpt注册 免费内测申请体验#openai #chatgpt应用领域 #文心一言 #openai #百度;0.0122923666650892;-0.2753663847733174;0.4373957556305711;-0.18790728714295463
GPT-4遇上文心一言，真的要一言难尽啊？#gpt4 #chatgpt #chatgpt应用领域 #openai #文心一言;0.0298672566371681;0.0960532675655112;0.492826543030974;0.07411822112428144
不就是一个聊天机器人吗？百度CEO李彦宏谈文心一言为什么值得关注#百度CEO谈文心一言为什么值得关注;0.0080982916094836;-0.0303226292145683;0.51260673453821;-0.02421681099897879
听说#百度 正在测试#ai聊天机器人 #文心一言 ，跟#ChatGPT 比，会有什么惊喜？;0.0917372580568832;-0.0555840816700051;0.4689702304917997;-0.0414226671323388
文心一言AI画图是中翻英再画的吗？#文心一言;0.1544117647058823;0.24134944607967;0.4959875778772495;0.19261497486499154
文心一言发布会是录播？不会是假的吧？发布会总结来了#文心一言 #chatgpt #人工智能 #百度;0.0007453504330131;-0.2226763464435272;0.5229270602053901;-0.18112904249861597
