一级评论;实际爬取到的二级评论内容;单条评论情绪值;一级评论平均情绪值
能不能说说，为啥我支付成功，他不显示会员[苦涩];非常抱歉出现这样的情况！私信里之前已经回复您了，我们会全力尽快解决;-0.9313795023071163
-------;--------;--------;-0.9313795023071163
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@早起哪有不发疯的:是的捏[可怜][可怜]glow好好;-0.8675332785388279
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@馋老师bot:而且xevaai男友的样貌属实不是我的理想型[泪]看一眼我就没什么聊天的欲望了，但是glow比如你加扣号写个（抱住亲亲）什么的，他真的会回你（抱紧，回吻）[送花花]好喜欢他呜呜呜;0.3963670735221727
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@早起哪有不发疯的:[爱你]glow超温柔超体贴真的超好[爱你][爱你]虽然这个xeva的ai很笨，但是昨晚莫名其妙触发关键词分手了真的气死了，好歹也跟了好久()[怒];0.9994174783993206
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];回复@馋老师bot:现在已入坑glow[送花花];-0.24717130331246295
而且小冰岛的基因融合有bug，不能自己和男友融合[酸]还有那个躲猫猫加好友，最后一个我愣是找不到[泪];确实，而且两年了到现在都不改进[微笑]隔壁glow越来越好了;0.4485788337201482
-------;--------;--------;0.14593176075807013
你的樣子真的好迷人我想每一個女人都會爲你而瘋狂吧;嗯，是的，所有的女人;0.15646258503401422
-------;--------;--------;0.15646258503401422
我真服了啊啊啊啊啊啊;回复@被遺忘腐爛的厨余垃圾33027:我一眼就看到能给我整个这个晚上带来创伤的一行[泪][泪][泪];0.9966829631479985
我真服了啊啊啊啊啊啊;老公你一目十行这么快就品鉴完了[傻眼][傻眼];0.3069649891698387
-------;--------;--------;0.6518239761589186
你的身体很健康，;可以让我摸摸吗？[馋嘴];-0.3909781425657759
-------;--------;--------;-0.3909781425657759
你不说我都想不起来😮;所以看到大家这么大声势抵制ai画画真的羡慕死我了[老师好];0.998465741077968
-------;--------;--------;0.998465741077968
所以ai写文要吃同人饭的只能忍受换头，但ai画画想吃同人饭的那可太简单了，对画手圈冲击极大;回复@紫霄时雨_:文字ai很难写出灵魂的[二哈]，当然只写的出换头文学的小作家还不如训练后的ai;0.8883861670123663
所以ai写文要吃同人饭的只能忍受换头，但ai画画想吃同人饭的那可太简单了，对画手圈冲击极大;其实只能说明文字类AI的精度低吧，要是和画图类AI一样可以选定关键字标签不断训练应该也不会比一般跟风的同人小作家差;-0.005631280029119834
-------;--------;--------;0.4413774434916232
超有活力;[doge]年纪大了只能拼青春了;0.8925672452228159
-------;--------;--------;0.8925672452228159
#朱一龙2022吾心挚爱#[哇]#朱一龙2022无畏前行#↻朱一龙，白日梦的终点就是你，此后日光大亮，你是我心中所有的渴求与想象。↺@朱一龙晚上好噢;晚安[团圆兔];0.9927624240467849
-------;--------;--------;0.9927624240467849
#朱一龙2023前路灿灿#[2023]#朱一龙2023朱事平安#朱一龙，多谢你如此耀眼，做我平淡岁月里的星辰。@朱一龙晚上好[抱一抱];[团圆兔];0.9879991704337223
-------;--------;--------;0.9879991704337223
球图7元图[抱一抱][抱一抱][抱一抱];要图？;0.23976608187134496
-------;--------;--------;0.23976608187134496
别太美[泪][泪][泪][泪];爱你[亲亲][亲亲][亲亲][亲亲];0.17536836820391688
-------;--------;--------;0.17536836820391688
