label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
15;[打call][打call][打call][打call]。好久不见，七猫。七猫，果然很棒;2;0;2;57276;3.491863956980236e-05
170;对信息流广告人的要求越来越高了;1;1;2;57276;3.491863956980236e-05
172;等着看看有没有机会进入[太开心];2;0;2;57276;3.491863956980236e-05
179;我相信百度一定会做出成绩来的;1;2;3;57276;5.237795935470354e-05
183;我最信任的百度也是越来越好了。;1;1;2;57276;3.491863956980236e-05
185;百度越做越好了，真的。;1;2;3;57276;5.237795935470354e-05
190;科技感满满;4;10;14;57276;0.00024443047698861654
195;冲！;1;0;1;57276;1.745931978490118e-05
200;人工智能太厉害了;6;10;16;57276;0.00027934911655841887
207;相信我们国今后的发展会越来越好，越来越强盛;6;9;15;57276;0.00026188979677351773
214;相信百度应该会发展得越来越棒[打call];1;2;3;57276;5.237795935470354e-05
216;百度在自然语言处理领域有着深厚的底蕴和积累;1;0;1;57276;1.745931978490118e-05
219;相信百度会发展的越来越好;1;1;2;57276;3.491863956980236e-05
232;现在越来越科技化了，时代进步飞速;1;0;1;57276;1.745931978490118e-05
235;希望百度的文言一心可以成功;1;1;2;57276;3.491863956980236e-05
241; 希望百度的文言一心可以成功;1;1;2;57276;3.491863956980236e-05
243;因为政策将带动国内Ai产业发展[小红花];1;1;2;57276;3.491863956980236e-05
247;AI智能会越来越强大的啊[good];3;8;11;57276;0.00019205251763391298
251;人工智能太厉害了;1;5;6;57276;0.00010475591870940707
253;对未来来说，又是一次新突破！;2;2;4;57276;6.983727913960472e-05
261;期待更多新的应用出来;1;1;2;57276;3.491863956980236e-05
272;文心一言哪怕不完美，但对我国的ai发展和国际数据争夺有重大战略意义！;15;18;33;57276;0.0005761575529017389
288;新政策扶持AI产业会给我们带来更多精彩;9;17;26;57276;0.0004539423144074307
298;科技的发展带动了我们全国的经济;2;7;9;57276;0.00015713387806411063
432;形象的用梅西的盘带射门举例很易懂[666][666];5;1;6;57276;0.00010475591870940707
438;这个比喻一下子就让人很清晰了，就是希望可以做到;1;2;3;57276;5.237795935470354e-05
449;话说这样子的解释真的是清晰明了的啊，让我一听就明白了啊;3;1;4;57276;6.983727913960472e-05
453;这个比喻倒是挺靠谱的，就是不知道具体能做成什么样[挖鼻];7;10;17;57276;0.00029680843634332006
461;就很好奇到底能够做成什么样子的就已经在期待着最后的成果;2;7;9;57276;0.00015713387806411063
497;部长用梅西的盘带射门举例很形象易懂了，期待我国的领域成果更上一层楼[打call];1;3;4;57276;6.983727913960472e-05
499;我觉得是可以呈现出更好的效果的，有些期待呢;4;9;13;57276;0.00022697115720371534
513;AI技术发展也不是一蹴而就的，已经研究了很多年了;2;1;3;57276;5.237795935470354e-05
517;要发展到理想状态，还是需要一些时间，大家拭目以待吧;2;2;4;57276;6.983727913960472e-05
520;感谢这么多科技人员默默的付出和努力，一起期待吧[爱你];1;1;2;57276;3.491863956980236e-05
558;我感觉人工智能会越，来越发达;1;1;2;57276;3.491863956980236e-05
560;希望大家有一个自己的认知，自己的了解，不要被盲目带偏。[打call];1;0;1;57276;1.745931978490118e-05
562;有时候回答过来的，真的是哭笑不得呀[允悲];1;0;1;57276;1.745931978490118e-05
574;确实是应该对中华文化和语言都有着独特的理解和解读，很重要的;5;16;21;57276;0.0003666457154829248
581;期待未来能够更好地造福人类;6;19;25;57276;0.0004364829946225295
590;不得不说我们中国文化有着独特的深度的理解;1;2;3;57276;5.237795935470354e-05
595;这技术看起来很有难度，那就期待了加油;1;0;1;57276;1.745931978490118e-05
607;确实是不容易，不过还是希望能够有生成式AI产品的出现;1;6;7;57276;0.00012221523849430827
609;确实非常的占优势，吸引了更多的用户很不错。;5;12;17;57276;0.00029680843634332006
615;我觉得未来的AI技术一定会普及到生活上面来[打call];2;9;11;57276;0.00019205251763391298
618;这样的优势还是很难得的，会越来越好的;2;6;8;57276;0.00013967455827920943
621;非常期待国产chatGpt面市，但是研发出来也不是一朝一夕的啊;1;1;2;57276;3.491863956980236e-05
633;生成式AI产品的研发还需要多年技术的沉淀，不停的进化啊;1;1;2;57276;3.491863956980236e-05
637;希望人工智能技术越来越好，带给我们更多的惊喜;1;0;1;57276;1.745931978490118e-05
639;期待一下未来人工智能的发展趋势，还是值得我们一起期待的;3;5;8;57276;0.00013967455827920943
643;我觉得智能AI技术会发展的越来越好;4;7;11;57276;0.00019205251763391298
648;非常期待国产chatGpt面市，但是研发出来也不是一朝一夕的;1;2;3;57276;5.237795935470354e-05
653;这个感觉真的很不错呀;1;2;3;57276;5.237795935470354e-05
659;生成式AI产品的研发还需要多年技术的沉淀，不停的进化啊;1;3;4;57276;6.983727913960472e-05
663;确实让人值得期待，而且他的技术程度也挺不错的。;6;7;13;57276;0.00022697115720371534
670;确实不是一朝一夕就能够发展好的一定是经过沉淀的[打call];1;6;7;57276;0.00012221523849430827
672;非常期待国产chatGpt面市，但是研发出来也不是一朝一夕的;1;1;2;57276;3.491863956980236e-05
680;生成式AI产品的研发还需要多年技术的沉淀，不停的进化啊;1;0;1;57276;1.745931978490118e-05
684;AI技术也在一朝一夕的突破离不开科研人员背后的付出。;4;8;12;57276;0.00020951183741881415
689;希望不停的进化不停的升级一定会越来越好。;3;7;10;57276;0.0001745931978490118
693;科技在不断的发展，人工智能也是，未来一定会发展的越来越好;1;3;4;57276;6.983727913960472e-05
703;生成式AI产品的研发需要基于多年技术的沉淀，不停的进化啊;1;2;3;57276;5.237795935470354e-05
706;我也相信，随着时间和技术的成熟会越来越好的。;7;11;18;57276;0.00031426775612822125
714;科技在不断的发展，相信未来人工智能技术一定会发展的越来越好的;3;8;11;57276;0.00019205251763391298
718;生成式AI产品的研发需要基于多年技术的沉淀，不停的进化啊;1;2;3;57276;5.237795935470354e-05
731;非常期待国产chatGpt面市，但是研发出来也不是一朝一夕的;1;1;2;57276;3.491863956980236e-05
735;我也相信他会带给我们很多很多意想不到的惊喜。;6;14;20;57276;0.0003491863956980236
742;我觉得这个真的意想不到好期待啊;1;8;9;57276;0.00015713387806411063
745;以后一定会有意想不到的惊喜的，发展的越来越好了;1;1;2;57276;3.491863956980236e-05
756;非常期待国产chatGpt面市，但是研发出来也不是一朝一夕的啊;1;2;3;57276;5.237795935470354e-05
758;生成式AI产品的研发还需要多年技术的沉淀，不停的进化啊;1;1;2;57276;3.491863956980236e-05
761;我也是很看好它啊，应该会非常的出色。加油吧;4;9;13;57276;0.00022697115720371534
766;科技在不断的发展，让我们期待一下未来人工智能的发展趋势;2;4;6;57276;0.00010475591870940707
769;非常期待国产chatGpt面市，但是研发出来也不是一朝一夕的;1;2;3;57276;5.237795935470354e-05
772;感觉最近几年科技发展真的好快，总觉得ai快替代普通人[笑cry];1;0;1;57276;1.745931978490118e-05
779;生成式AI产品的研发还需要多年技术的沉淀，不停的进化啊;1;2;3;57276;5.237795935470354e-05
782;原来生成式的AI这么难，做出来真的太不容易了;1;2;3;57276;5.237795935470354e-05
785;还是海信视像、美的，TCL、跑得快，总是能抓住新机。;2;0;2;57276;3.491863956980236e-05
791;这很值得好好关注一下啊;1;0;1;57276;1.745931978490118e-05
793;这混战真的是太精彩了呀！[允悲];1;0;1;57276;1.745931978490118e-05
795;真的是要卷起一股AI风了;1;0;1;57276;1.745931978490118e-05
797;现在竞争力也是非常大的呀;1;0;1;57276;1.745931978490118e-05
799;资本的世界我们不懂啊[笑cry];1;0;1;57276;1.745931978490118e-05
808;携程做的真的是特别好，最近;1;0;1;57276;1.745931978490118e-05
810;经济已经回暖了，我媳妇天天嚷着要和我出去玩;1;0;1;57276;1.745931978490118e-05
812;走 来一场说走就走的旅行[嘻嘻][嘻嘻][嘻嘻];2;0;2;57276;3.491863956980236e-05
815;最近我也在考虑要去哪里玩呀;1;0;1;57276;1.745931978490118e-05
817;昙花一现。;1;1;2;57276;3.491863956980236e-05
837;持续关注更好的发展，认真跟着老师的步伐，不骄不躁[嘻嘻][嘻嘻];1;0;1;57276;1.745931978490118e-05
839;收评还是出来了;1;0;1;57276;1.745931978490118e-05
853;看到老师的收评，心里就有底了[鲜花][鲜花];1;0;1;57276;1.745931978490118e-05
863;半边天[good];6;9;15;57276;0.00026188979677351773
870;百度真的太牛了，一定会发展越来越好;3;5;8;57276;0.00013967455827920943
874;不错[打call];2;5;7;57276;0.00012221523849430827
878;百度真的做的很不错哦[心];1;1;2;57276;3.491863956980236e-05
880;国内发展现在可以的不比外面差;1;0;1;57276;1.745931978490118e-05
888;科蓝软件怎么看;1;0;1;57276;1.745931978490118e-05
900;百度文心一言首批生态合作伙伴不少吧[允悲];1;0;1;57276;1.745931978490118e-05
942;希望中国能更加繁荣富强;7;11;18;57276;0.00031426775612822125
950;赶上还得需要一段时间;1;5;6;57276;0.00010475591870940707
952;国产技术放心 值得给赞;1;1;2;57276;3.491863956980236e-05
961;还是国外的更胜一筹啊[打call];14;14;28;57276;0.0004888609539772331
976;好厉害啊，高科技;8;18;26;57276;0.0004539423144074307
986;满满的科技感啊  真的越来越厉害了;1;1;2;57276;3.491863956980236e-05
988;文心一言的发展会越来越好，衷心祝福。;1;2;3;57276;5.237795935470354e-05
991;Al科技的进步将会带领我们中国进入新的领域;1;2;3;57276;5.237795935470354e-05
1010;这个确实我们没有国外强;3;4;7;57276;0.00012221523849430827
1016;这个是大概率的，越是大家不关注，媒体不报道，越容易无声处起惊雷，科技这个领域闹闹腾腾的，聚光灯下的最后都会失望。;1;8;9;57276;0.00015713387806411063
1043;哇噢很棒;1;1;2;57276;3.491863956980236e-05
1062;元隆雅图肯定会给予更加优秀的成果;4;21;25;57276;0.0004364829946225295
1067;让我们大家一起期待 http://t.cn/A6CCi7gE;3;20;23;57276;0.00040156435505272716
1072;期待内测成功后开放的那一天 http://t.cn/A6C0rtAd;5;21;26;57276;0.0004539423144074307
1078;后面肯定会让我们看到精彩的一面;3;13;16;57276;0.00027934911655841887
1082;内测后的公开肯定让人感到骄傲兴奋 http://t.cn/A6qeQGEl;2;8;10;57276;0.0001745931978490118
1085;百度智能云今后有更丰富的领域 http://t.cn/A6C0rlN2;1;9;10;57276;0.0001745931978490118
1087;定能给出满意的营销方案 http://t.cn/A6C0rCfw;1;8;9;57276;0.00015713387806411063
1147;超级期待他能给我们带来什么样子的作品了呀[鼓掌][鼓掌][鼓掌];20;21;41;57276;0.0007158321111809484
1168;真的是双厨狂喜[打call][打call]这首歌太好听了 旋律好棒;9;20;29;57276;0.0005063202737621343
1178;文心一格真的给我们带来太多的惊喜了！这个AI图片的生成简直让我觉得太好玩儿了;3;17;20;57276;0.0003491863956980236
1182;这个技术支持确实是有点牛了呀[good][good][good];1;5;6;57276;0.00010475591870940707
1186;背后不断升级的文心大模型技术真是让人拭目以待呢;1;3;4;57276;6.983727913960472e-05
1212;AI与音乐的交融，为观众带来了更强烈的视觉效果。;1;1;2;57276;3.491863956980236e-05
1214;现在的AI科技也可以融入到音乐当中真的是相得益彰;1;1;2;57276;3.491863956980236e-05
1216;AI发展势不可挡，mv中的原画部分由AI绘画技术支持，做的很棒;1;1;2;57276;3.491863956980236e-05
1218;说唱风格很有一种国泰民安的感觉，音乐中加入的现代科技满满的;1;1;2;57276;3.491863956980236e-05
1222;真是绝了yyds;1;6;7;57276;0.00012221523849430827
1224;文心一格[打call][打call][打call];1;6;7;57276;0.00012221523849430827
1226;中国风的百度ai视频有点意思;1;6;7;57276;0.00012221523849430827
