发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
第2集 | 机器人写出来的小说什么样？#小说 #彩云小梦 #人工智能 #写小说;0.0152420729219173;0.054858333302595;0.3772975765360822;0.030366901305974248
#抖音小助手 #彩云小梦 《AI连自己都不放过》;0.0123603476739503;-0.0695189459545658;0.3834596712821708;-0.03907548216515138
严正声明！#彩云小梦 始终坚决捍卫用户隐私！;0.0039872089270807;-0.0403929386760239;0.4443650647671064;-0.026242604629012553
#录屏 #开眼界了 #彩云小梦 超级续写软件，卡文了可续写，虽然很垃圾，但是可以将就用。;0.0003680500548074;0.1059262948446028;0.4441459342989423;0.06872239236526372
彩云小梦里面的恶心AI!#大无语事件 #离谱 #开眼界了 #栓q #聊天记录 p;0.0004080554955473;-0.0468640942229269;0.4503874804790539;-0.030831813218991987
当纸片人老公能自定义！这格局就打开了！;1.0;0.1247608471093435;0.9579416344525618;0.19480776323864685
#彩云小梦 #游戏 #刘浩存 一年多老粉人工智能爱好者在线辟谣！没要摄像头权限，没有真人！就是个AI（事实是偶尔也会前言不搭后语）第一次做视频…最后一帧可爱猫咪镇楼 #猫咪;0.0008667845493653;-0.0603306291295959;0.4316259297065303;-0.038042678474316666
智能AI陪伴的背后，到底是不是真人？#彩云小梦;0.0558769325961664;0.0360380496779157;0.4429180528754932;0.023640620405903496
彩虹小梦续写我害怕#原创 #短篇;0.0;-0.194331157881017;0.3972843924981999;-0.11276459228567713
#小说;2.000272036997032e-05;-0.429285357321339;0.6846601006539001;-0.4292905380348348
#智械危机#AI续写;2.93373232092898e-05;0.1376559011584249;0.6846604925809037;0.13765784975572806
拯救孤独患者的神奇APP来啦，一键告别emo#app推荐 #软件推荐 #emo;0.0035018095794361;-0.0661650869665546;0.3799372647486058;-0.036754804772263165
你敢信？AI可以帮你写爽文了#人工智能 #ai #科技;0.0013948563671325;0.2009626204880985;0.4530390645495262;0.13302347686687088
#抖音小助手 #彩云小梦 #人工智障 #生草 《superstar》《无中生比赛》《QQ号失而复得》;0.0006747584338136;0.1201032473321473;0.5170094596441034;0.09070788168349873
#刘浩存 #破防了 #这是一个悲伤的故事 为什么我的小梦是这样#彩云小梦;6.4008705183905e-05;0.0599700661148054;0.6847274572168103;0.059977118013009395
查询AI的精神状态 | 可喜可贺！AI终于恢复正常，还给我道歉了！ #彩云小梦 #ai聊天;1.46686616046449e-05;-0.7663127262582172;0.797446009612806;-0.8925591912724873
#一闪一闪亮星星 #彩云小梦;0.000185358542095;-0.5653051837535291;0.9072731117091256;-0.7491342932367091
#抖音小助手 #彩云小梦 #ai续写 #七彩阳光 #凄惨阳光;0.0012601713833081;0.1703445329342343;0.4038327534070767;0.10050996145272488
就很有趣#黑水君 #彩云小梦;0.00041072252493;0.1103123386983409;0.5077819586508646;0.08182183211315483
