label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;很聪明一下子就学会了;544;1744;2288;22667;0.10093969206335202
545;这个东西替代不了我，我螺丝打的贼六;667;22000;22667;22667;1.0
1213;我离不开chatgpt了大事小事都需要它;10;1;11;22667;0.0004852869810738077
1224;问：中国足球什么时候能捧起大力神杯ChatGPT：;301;8365;8666;22667;0.3823179070896016
1526;笑死，体力劳动没被替代，脑力劳动要先被替代了;215;6001;6216;22667;0.2742312613049808
1742;原版牛逼plus，我不允许有人还不会;11;3;14;22667;0.0006176379759121189
1754;那为什么现在还鼓励生孩子;23;7539;7562;22667;0.3336127409891031
1778;锻炼身体吧各位以后是体力劳动的时代了;100;3061;3161;22667;0.13945383156130056
1879;要是这玩意给自己编程呢机器人快反人类了;98;3025;3123;22667;0.13777738562668196
1978;这玩意不会让我这程序员失业，我敢肯定;238;347;585;22667;0.025808443993470685
2217;当初人类都觉得那是普通的一天;21;1165;1186;22667;0.05232275995941236
2239;失业的多怎么消费;138;1965;2103;22667;0.09277804738165615
2378;moss我觉得只是换了个名字;22;898;920;22667;0.0405876384170821
2401;呵，替代我是不可能的，它能背锅吗？;72;1611;1683;22667;0.07424890810429259
2474;那ChatGPT公司的员工会被机器顶替吗？;81;777;858;22667;0.037852384523757006
2556;夸大化了，顶多也就是第二个百度;17;11;28;22667;0.0012352759518242378
2574;电信诈骗更简单了;26;1659;1685;22667;0.07433714210085146
2601;P荷青柠漫漫、很强强势的gpt;4;2;6;22667;0.0002647019896766224
2606;说实话，ChatGPT替代不了风向星座，我的意思是人工智能替代不了疯子瘦未然;1;1;2;22667;8.823399655887414e-05
2614;这些东西代替不了我，我是风向星座千千kk;1;0;1;22667;4.411699827943707e-05
2617;做销售的影响不大吧;2;0;2;22667;8.823399655887414e-05
2630;我们早就用了;1;0;1;22667;4.411699827943707e-05
2637;有没有想体验的;2;0;2;22667;8.823399655887414e-05
2641;哪里下载;1;1;2;22667;8.823399655887414e-05
2643;现在注册不了啊烦死了，但是我有很多号;2;1;3;22667;0.0001323509948383112
2646;那么我不会做表格，我用chatgpt可以吗？;1;0;1;22667;4.411699827943707e-05
2656;现在砌墙，和水泥，改水管等专业，应该还能存活下去;1;2;3;22667;0.0001323509948383112
2660;问一下是不是能用它来写小说;1;2;3;22667;0.0001323509948383112
2664;让我看看还有谁没账号;2;0;2;22667;8.823399655887414e-05
2667;我没有电脑的，但是我有手机的，功能一个不少，全部都是免费的;21;4;25;22667;0.0011029249569859266
2691;国内版GPT4直接安排;2;1;3;22667;0.0001323509948383112
2695;我为什么下载不了chatGPT;2;1;3;22667;0.0001323509948383112
2698;正版还是有的但是这好像国内有软件;1;3;4;22667;0.00017646799311774828
2700;好吧绝了这个内容和那个语言文字运用的题一毛一样;2;0;2;22667;8.823399655887414e-05
2705;hw说的那个;1;1;2;22667;8.823399655887414e-05
2708;我刚才也问了ai，你们过来看看，想问什么，我帮你们问;2;4;6;22667;0.0002647019896766224
2718;我银行卡里就100块钱，怎么变成100亿;1;1;2;22667;8.823399655887414e-05
2723;是这个吗不用注册啊;2;2;4;22667;0.00017646799311774828
2726;1013这就是，Chatgpt;1;2;3;22667;0.0001323509948383112
2731;这个其实渠道挺多的咱计算机专业的学生基本人人都在用，每天老师和我们斗智斗勇不让我们用gpt写代码;3;0;3;22667;0.0001323509948383112
2736;烟锁寒楼我靠;1;1;2;22667;8.823399655887414e-05
2738;chatgpt太简单了;1;1;2;22667;8.823399655887414e-05
2744;小小贝这是席卷世界的神作，;1;0;1;22667;4.411699827943707e-05
2747;上午刷到了一个用这软件测双色球数据的还没开奖;6;1;7;22667;0.00030881898795605945
2754;0;3;2;5;22667;0.00022058499139718533
2761;不会还有人不会用吧;1;0;1;22667;4.411699827943707e-05
2770;不能再胖了是你那个吗;1;0;1;22667;4.411699827943707e-05
2773;怎么注册哇;1;0;1;22667;4.411699827943707e-05
2775;球教;1;0;1;22667;4.411699827943707e-05
2778;充钱才能用的公用号可信吗？价格也都不一样;4;1;5;22667;0.00022058499139718533
2785;怎么用这个;1;0;1;22667;4.411699827943707e-05
2792;瓜子这里;1;0;1;22667;4.411699827943707e-05
2795;我比人工智能还笨，这让我怎么活呀;1;3;4;22667;0.00017646799311774828
2800;刚花20买了个号;9;4;13;22667;0.0005735209776326818
2816;彭彭跳中国地区下载不了;1;0;1;22667;4.411699827943707e-05
2824;今天c篇讲的都是这个东西，我还做错了;3;4;7;22667;0.00030881898795605945
2830;始于颜值Luckylucky暴富的机会;1;0;1;22667;4.411699827943707e-05
2836;让机器人去种地吧，解放一下农民;2;24;26;22667;0.0011470419552653637
2839;来不及道别我去，你看这个;1;0;1;22667;4.411699827943707e-05
2841;扶苏这是我们教育的新内容叫我们远离;1;1;2;22667;8.823399655887414e-05
2843;不是说5g时代我们实现弯道超车，未来网络这一块我们领先全世界吗？怎么和之前预测的不一样呢？;2;2;4;22667;0.00017646799311774828
2846;《所有互联网上的信息》是不是包括个人私密信息;1;1;2;22667;8.823399655887414e-05
2852;这个ai植入机器人里面，管你是厨师还是服务员，还是老板经理，还是扫大街的都是失业;5;2;7;22667;0.00030881898795605945
2864;怎么使用;2;0;2;22667;8.823399655887414e-05
2869;美丽且自卑我去好牛逼;1;1;2;22667;8.823399655887414e-05
2874;这玩意儿怎么用？去哪里用;1;0;1;22667;4.411699827943707e-05
2876;国内可以注册chatgpt账号吗;3;0;3;22667;0.0001323509948383112
2883;大傻玲认真看完;1;0;1;22667;4.411699827943707e-05
2894;我不和他们竞争能给我几亩地让我去种地吗;1;1;2;22667;8.823399655887414e-05
2898;给它断电还能不能活着;2;0;2;22667;8.823399655887414e-05
2905;这个软件能植入机器人或者娃娃身上吗？;1;0;1;22667;4.411699827943707e-05
2907;他不会搬砖;4;1;5;22667;0.00022058499139718533
2917;人工智能;1;0;1;22667;4.411699827943707e-05
2921;只觉可怕。;1;0;1;22667;4.411699827943707e-05
2930;请问它能读解易经、祝由、还有各种中医书吗？可以我也注册一个;3;0;3;22667;0.0001323509948383112
2935;一蓑烟雨帮我整一个;2;0;2;22667;8.823399655887414e-05
2938;能不能让他帮我盗个QQ;2;6;8;22667;0.00035293598623549656
2956;这玩意没法炒菜;3;5;8;22667;0.00035293598623549656
2960;反正会计还很安全，没有老板愿意让机器人做账;8;11;19;22667;0.0008382229673093043
2969;有没有一种可能现在我的评论就是chatgpt发的瞎人不各位;1;5;6;22667;0.0002647019896766224
2971;说这么多我们又用不了;3;5;8;22667;0.00035293598623549656
2975;chatGTP都把它神话了，我认为它真要神也是我们都来和它互动才会成就它的神，因为它在积累所有反馈给它的信息加以运用，不用它它永远停留在创造它的团队成员的智慧层面上看懂我说的了吗？我呼吁，看到这几句话的所有朋友帮我：点赞评论收藏转发，目的不为我自己需要上热门，这是国家安全让砖家去解析解析是不是这个逻辑;2;6;8;22667;0.00035293598623549656
2978;玩明白高中数学，我失业，我去做美食鉴赏员去;1;1;2;22667;8.823399655887414e-05
2980;路人有一说一，博主说的很赞同有工具能用上也不错。现在国内不是所有人都会用梯子，拿我自己的经验对小白来说那个注册使用太麻烦，国内有靠谱途径不用爬梯子的有渠道就赶紧用。作为一名医生，我觉得至少在临床实践和病例分享这一方面给了很多帮助，让我更方便地分享我的临床经验和病例，提高了同行之间的交流和协作。不知道什么时候这个口子什么时候会关，大家可以试试;1;3;4;22667;0.00017646799311774828
2989;其实这个世界不需要太多的人类，人类有很多不足跟无用之处;1;11;12;22667;0.0005294039793532448
2991;别危言耸听了，ChatGPT只能让白领工作轻松一点，但不能替代白领。可以写比较死板的论文，可以写已经有过文案。但它不能写汉语中的语境和意境，不能写出如红尘滚滚的厚重与沧桑。商业文案如果使用ChatGPT，就没了商业秘密可言。所以，不要为了流量夸大其词。;4;16;20;22667;0.0008823399655887413
