label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;文心跟chat的差距就是chat啥时候开源文心就彻底追上了;39;2131;2170;3799;0.5712029481442484
40;莆田系跟正规医院水平差距也不是很大;13;1971;1984;3799;0.5222426954461701
54;人类跟大猩猩的基因只差2;6;932;938;3799;0.24690708081073967
61;原神和塞尔达传说水平相差一两个月;1;40;41;3799;0.010792313766780732
63;爱因斯坦提出了质能方程，我也知道EMC，我和爱因斯坦差距也不是很大doge;14;1161;1175;3799;0.3092919189260332
78;快来个勇士再给他头上浇瓶矿泉水让他清醒一下;19;1034;1053;3799;0.2771782047907344
98;省流：百度一两个月能偷到chatgpt上个月的技术doge;16;439;455;3799;0.11976836009476179
115;文心一言彻底成功了我问它我得了什么病它会给我推荐癌症吗？;13;514;527;3799;0.13872071597788893
129;估计是俄罗斯时间一两个月，文心一小时二十二分速通chatgpt艳红里一战封神;3;467;470;3799;0.12371676757041326
133;不不不，chatgpt在广告推销上远远落后。;6;356;362;3799;0.09528823374572255
140;说绿皮火车都是抬举它了，人家是高铁，他那个是马拉木板车，人家已经可以写代码了，它那个还在推荐莆田;2;127;129;3799;0.03395630429060279
143;chatGPT跟cheatPPT观众还是分得清的。;1;122;123;3799;0.032376941300342195
145;猜文心一言得开会员，还会限速5kb脱单doge;2;68;70;3799;0.018425901553040275
148;连代码都不会写、上下文能力欠缺，怎么有脸说达到GPT一月份的水平;20;207;227;3799;0.05975256646485917
169;别人一开源，我们就自研;1;21;22;3799;0.005790997630955514
171;真以为一月份没人用chatgpt？我去年11月就在用了差的远了根本不是一个东西;21;204;225;3799;0.05922611213477231
193;只要中文世界言论？自由，了，文心一言就成了;3;13;16;3799;0.0042116346406949196
197;入戏太深，可惜奥斯卡结束了。;1;176;177;3799;0.04659120821268755
199;商人可以不要脸。。但是不能这么丢脸，真的太丢脸了，李总;1;66;67;3799;0.017636220057909976
205;只会越差越远，中文语料库根本比不了英文的藏狐;1;14;15;3799;0.003948407475651487
207;水已经滋不醒他的良心了，得尿;1;21;22;3799;0.005790997630955514
210;说抄的是不是没脑子，一个技术要是光说抄就可以得到的话，那大家直接去抄好了，之前就有说j20是抄f22的，那你怎么没看除中国以外的其他国家抄出来。任何有一定门槛的技术不是只要出现了，然后知道大概怎么回事就可以获得，你得知道得非常清晰，像造飞机一样得具体知道用什么强度，什么参数的螺钉这个层次才行。现在chatgpt你们连是否开源都弄不清楚，就在这doge叫，拜托先动动手查一查，再下结论。;4;22;26;3799;0.006843906291129244
215;现在ChatGPT用户基数摆在这，回馈的数据越来越多，差距会指数级拉开了;6;86;92;3799;0.024216899183995787
225;分享chatGPT和DALLe使用方法，给个赞包教会;3;7;10;3799;0.0026322716504343247
229;可以，希望5月份能看到文心一言达到GPT4的水平，要不就是吹牛;10;28;38;3799;0.010002632271650434
240;绿皮火车跟高铁差别不大，都是在铁轨上跑;2;56;58;3799;0.015267175572519083
243;李彦宏跟贾跃亭差距也不是很大;3;51;54;3799;0.014214266912345353
255;问题在于，一两个月的时间，自己会进步，那别人就不会进步了吗？这种说法怎么跟刻舟求剑似的;1;19;20;3799;0.0052645433008686494
257;莆田系跟正规医院水平差距也不是很大;1;54;55;3799;0.014477494077388787
261;百度作恶多端;1;4;5;3799;0.0013161358252171624
264;5年前就听说百度布局ai力度很大，几乎allin，当时目光短浅，看不出有什么价值，以为百度是因为丢了搜索引擎阵地的价值之后乱投机，今天看来确实可以，希望有点成绩。;15;20;35;3799;0.009212950776520137
284;gpt一出来我马上想到的就是百度很多业务离倒闭了很近了;10;10;20;3799;0.0052645433008686494
299;我感觉文心一言就是抄的，用起来里面的字符计算逻辑都是英文的，看不出是自研的。;3;10;13;3799;0.003421953145564622
303;自己有和有的用是两个概念;1;2;3;3799;0.0007896814951302974
307;大家都在喷百度，却不知它的股票发布会后一直在涨，现在是自21年来最高点;10;9;19;3799;0.005001316135825217
320;国产的食物，衣服，鞋子等我都会支持，但百度的这个东西，我绝对不会用的，就算技术超过chatGPT都不会用。;6;2;8;3799;0.0021058173203474598
328;有up看过论文了，核心部分都是抄的;1;2;3;3799;0.0007896814951302974
332;体感上的感觉，腾讯的有技术但是可能大概也许还在洗数据集所以不管他1Sydney2GPT43Newbing4GPT355被削弱的Newbing6文心一言7BardGPT3;4;6;10;3799;0.0026322716504343247
337;你能把文心一言开源吗看看里面有没有gpt12的东西吃瓜;8;5;13;3799;0.003421953145564622
350;你倒是让我用啊，老排队;6;7;13;3799;0.003421953145564622
361;人家是全球的用户帮忙迭代数据库，你只能是中国国内，希望早点放开国外权限。;1;1;2;3799;0.0005264543300868649
385;能勇敢的发布，能承认差距，能分享研发过程。给百度点赞，给李彦宏点赞。;5;18;23;3799;0.006054224795998947
392;不就是跟华为一样吗，人家松松手就吹牛逼，人家一制裁就翘辫子;3;3;6;3799;0.0015793629902605948
418;谷歌表示差距两三年，百度表示一两个月，说明百度的ai已经碾压谷歌了。真不知道网上泼冷水的在想什么，跪久了;1;1;2;3799;0.0005264543300868649
422;文心一言本身这个名字就取的不好，很拗口;2;1;3;3799;0.0007896814951302974
437;超不了，除非更快;1;0;1;3799;0.00026322716504343247
452;差个接口？;1;0;1;3799;0.00026322716504343247
457;一个是新吹的牛皮，另一个是跟风吹的牛皮。差距主要取决于吹的速度;1;0;1;3799;0.00026322716504343247
479;科技部部长王志刚：ChatGPT之于AI就像梅西之于足球，很难做到那么好哔哩哔哩httpsb23tvZftzTAA;1;0;1;3799;0.00026322716504343247
492;也就差一个开源;1;0;1;3799;0.00026322716504343247
499;我想知道ChatGpT是怎么自己提升的，总不能无中生有吧;3;0;3;3799;0.0007896814951302974
521;我可以等3个月多给你一个月再来看看脱单doge如果能有现在gpt的水平我买你一年会员;1;0;1;3799;0.00026322716504343247
530;迭代是爆炸式的。差距只会越来越快。傲慢是罪啊;2;0;2;3799;0.0005264543300868649
535;不管如何，我是支持的，别以为科学无国界，中国cpu被掐多久了思考;1;1;2;3799;0.0005264543300868649
542;我们的中文底层数据和外国数据差太多了;1;0;1;3799;0.00026322716504343247
555;喷他的，是显得自己多能《独立思考》吗？;1;1;2;3799;0.0005264543300868649
560;目前看来，百度是废了，看一下下一个挑战者阿里怎么样。听说他们数据最多，不知道什么时候做个AI出来玩玩。;2;0;2;3799;0.0005264543300868649
588;你们这些批评百度的评论公正点好吗？百度很早就投入ai，不存在跟风。每年人工成本几百亿。你们觉得百度不行，很大程度是因为ChatGPT太优秀，就连Google也比不上，凭什么要求百度。这就跟奥林匹克物理竞赛第一名跟爱恩斯坦比，比不过一样。;1;0;1;3799;0.00026322716504343247
593;支持国货打call中国有大智慧的人最多星星眼;1;0;1;3799;0.00026322716504343247
595;importopenaiaswenxinyiyan;2;0;2;3799;0.0005264543300868649
598;让我想起来了十年前网上一堆人信誓旦旦说国产车不可能，永远也超不过日系车;5;0;5;3799;0.0013161358252171624
605;问题是你文心一言的模型不也是在人家上一个开源的模型基础上修改的藏狐;1;0;1;3799;0.00026322716504343247
608;不可能，你绝对不可能达到gpt35的水平，估计也就2的水平，连3都达不到;1;0;1;3799;0.00026322716504343247
614;别唱衰自己国家有公司在做应该鼓励李彦宏牛逼;3;0;3;3799;0.0007896814951302974
621;我和高考状元也就差了差不多一天的时间，高考完，出答案后，我甚至有可能比高考状元成绩还好脱单doge;1;0;1;3799;0.00026322716504343247
624;总分41分么笑哭;1;0;1;3799;0.00026322716504343247
626;就知道浇冷水？;3;0;3;3799;0.0007896814951302974
635;哈哈哈哈哈哈班级里的学霸偶尔放点水控分考了个61分，坐旁边的小度同学费劲力气考了个59沾沾自喜喜极而泣结果下一次月考，学霸考了91，你还搁那混个及格分都够呛笑哭这时候傻眼了，差距原来这么大;1;0;1;3799;0.00026322716504343247
640;你咋不说你百度的自动驾驶和博世的差距也不是很大。;1;0;1;3799;0.00026322716504343247
644;就是完全抄的代码，要求总线（bus）结果画巴士（bus），爱国的猫结果出星条旗，你说这是什么。现在会抄袭已经这么厚颜无耻了吗;3;2;5;3799;0.0013161358252171624
649;套壳吧，确实差不多;1;0;1;3799;0.00026322716504343247
652;好给你两个月，我看你能不能达到40的水平;1;0;1;3799;0.00026322716504343247
661;真会吹，文言撑死2019年的gpt2的水平;3;4;7;3799;0.0018425901553040273
674;你什么时候把你那破b搜索引擎整顿一下就谢天谢地了;1;0;1;3799;0.00026322716504343247
687;跟chatGPT也就差了一个chatGPT;1;1;2;3799;0.0005264543300868649
691;笑哭一时间不知道谁是猴子是他还是我们？这样耍猴。;2;1;3;3799;0.0007896814951302974
699;别误会，可能内核用的是GPT29;1;0;1;3799;0.00026322716504343247
720;百度就是个纯搞钱的，能有什么大研发投入，chagpt投入很多钱;1;0;1;3799;0.00026322716504343247
733;是的，都怪gpt早发布了一两个月，不然引领AI届的就是百度了。;1;2;3;3799;0.0007896814951302974
738;就是个翻译然后调用chatgpt的东西，让他画个爱国的猫能画出一个带美国国旗的猫，我也是乐;4;0;4;3799;0.0010529086601737299
755;清华大专和清华大学差距不大;1;0;1;3799;0.00026322716504343247
759;这片土壤峠博子只会越来越多;1;0;1;3799;0.00026322716504343247
761;支持国货，不要妄自菲薄也不要盲目自信;1;0;1;3799;0.00026322716504343247
784;其实差距没李彦宏说的这么大，只是差了一个字罢了，一个人工智能一个人工智障;2;1;3;3799;0.0007896814951302974
792;chatgpt核心算法知道了吗？这么吹;2;0;2;3799;0.0005264543300868649
831;评论和弹幕怎么了？你确定用过这两个工具？;2;0;2;3799;0.0005264543300868649
840;你要是真复现就算了，抄会了也就算了。复现都复现不了，只会调别人的接口。牛奶路（MilkWay）生成个银河系图片，抄都抄不了，api调用仔踏马的也和OpenAI比。还有脸说国内不会有了，笑死。腾讯抄都抄不出原神。估计百度也就那样了。;1;0;1;3799;0.00026322716504343247
851;可能他说的是chatgpt2;2;0;2;3799;0.0005264543300868649
882;至少在做了，扛什么？;7;0;7;3799;0.0018425901553040273
890;微软已经明确警告了，你吖在逼逼就把你的接口给封了;13;72;85;3799;0.022374309028691763
904;《请画一个外国女孩》;6;374;380;3799;0.10002632271650434
911;AI已经跟你说了很多次了，想画鸡蛋灌饼，你干嘛不满足它的要求吃瓜;2;176;178;3799;0.046854435377730985
914;看这个图片。就知道国内海量的劣质图片对AI的影响有多大了。中国在这方面要提升的不仅仅是数据问题了。。。还有摄影。审美。清晰度。等各方面数据。。。;14;27;41;3799;0.010792313766780732
929;从网上淘来的。;8;195;203;3799;0.05343511450381679
938;我发现了什么不得了的东西;3;32;35;3799;0.009212950776520137
942;这题我会啊，;1;30;31;3799;0.008160042116346407
944;还以为是一个马桶上面写着亚洲;2;98;100;3799;0.026322716504343247
947;试试“请画一个我国女孩”吃瓜;2;1;3;3799;0.0007896814951302974
950;请画一个我们的国旗doge;2;14;16;3799;0.0042116346406949196
955;好么，原来百度把美国重定义为“中国”了，这样画“爱国”的时候出现的就是中国。而“美国女孩”这个义项做了特殊处理，所以也能输出正确。但其他义项没处理好，所以让画“外国”女孩出现的是中国女孩。;16;34;50;3799;0.013161358252171624
972;所以百度亡羊补牢，但是没补全，哈哈哈哈哈;1;28;29;3799;0.007633587786259542
974;你让他画松鼠鳜鱼doge;2;10;12;3799;0.0031587259805211897
978;看看这个;3;5;8;3799;0.0021058173203474598
982;文心一言只是个语言模型，训练集完全没有图像数据，画图是调用了stablediffusion，何必难为人家画图。。;1;0;1;3799;0.00026322716504343247
984;我想知道，如果让他画一个爱国女孩，会不会画出来一个披着星条旗的女孩doge;1;2;3;3799;0.0007896814951302974
990;古装和现代装区分试试？;6;3;9;3799;0.0023690444853908922
998;就问你眼睛大不大吧;1;3;4;3799;0.0010529086601737299
1001;这个怎么用;1;0;1;3799;0.00026322716504343247
1006;让它画一个穿比基尼的美国男孩。;2;0;2;3799;0.0005264543300868649
1017;所以文心一言到底经历了什么，它是被洗脑了吗鼓掌;7;0;7;3799;0.0018425901553040273
1025;敢问几个敏感点的问题吗;1;0;1;3799;0.00026322716504343247
1032;它咋这么喜欢水墨画;2;0;2;3799;0.0005264543300868649
1035;蚌，百度根本是赶鸭子上架，技术还不行。;1;0;1;3799;0.00026322716504343247
1039;星星眼;6;32;38;3799;0.010002632271650434
1046;tvdoge;15;211;226;3799;0.059489339299815744
1062;6的不行;2;43;45;3799;0.011845222426954462
1065;还是gpt厉害些脱单doge;3;51;54;3799;0.014214266912345353
1070;百毒不死天理难容，小米赛高;4;32;36;3799;0.009476177941563569
