一级评论;实际爬取到的二级评论内容;单条评论情绪值;一级评论平均情绪值
吊哩吊哩是这样子的;男人多的地方是这样子的;0.04166124449875608
吊哩吊哩是这样子的;不是歧视，但是男人是不能上网的，这是老祖宗留下的规矩。互联网是阴特奈特，不是阳特奈特，男人不能上的，男人上了就没有阳刚之气。我是为了男人好才这么说的。这是传统文化，不是忽然来的规定。每次我们上网都会说男人走开男人走开，但是还有是有男人来上网，真的就是很不尊重啊！入乡随俗懂不懂？;0.9982701095337483
吊哩吊哩是这样子的;二次元吊区就是恋童癖重灾区;-0.11428334741368129
吊哩吊哩是这样子的;看看现在b站成什么样上次点进直播直接一个擦边过来……看看你的初心吧我真是服了;-0.9640178281628458
吊哩吊哩是这样子的;早泄是这样的，早泄给男性带来心理压力。患有早泄后，男性不可避免地肩负起超负荷的心理压力，一旦长期笼罩于疾病的阴影之下，其工作、生活将大受影响。而长时间的心情苦闷、情绪压抑，会使患者丧失生活激情、消极萎靡，甚至造成心理顽疾而上网发泄。;0.9999982559077338
吊哩吊哩是这样子的;不是歧视，但是男人不能上互联网的，这是老祖宗留下的规矩。互联网是阴特奈特，不是阳特奈特，男人不能上的，男人上了就没有阳刚之气。是为了男人好才这么说的。是传统文化，不是忽然来的规定。每次我们上网都会说男人走开男人走开，但是还有是有男人来上网，真的就是很不尊重啊！入乡随俗懂不懂？;0.9995110915450898
吊哩吊哩是这样子的;不是歧视，但是男人不能上互联网的，这是老祖宗留下的规矩。互联网是阴特奈特，不是阳特奈特，男人不能上的，男人上了就没有阳刚之气。是为了男人好才这么说的。是传统文化，不是忽然来的规定。每次我们上网都会说男人走开男人走开，但是还有是有男人来上网，真的就是很不尊重啊！入乡随俗懂不懂？;0.9995110915450898
吊哩吊哩是这样子的;@帆帆睡辽笑屎我了;0.2423629473065243
吊哩吊哩是这样子的;@小狗的情绪箱-笑死我了;0.8690374320447312
吊哩吊哩是这样子的;我的意思不是不准男人上网。男人解放，女男平权，我都赞成。男人才华出众，成就非凡，我更欣赏。但是，一个男人才华再高，成就再大，倘若他不肯或不会做一个不上网的男人，他给我的美感就要大打折扣;0.9999933188976078
吊哩吊哩是这样子的;不是歧视，但是男人不能上互联网的，这是老祖宗留下的规矩。互联网是阴特奈特，不是阳特奈特，男人不能上的，男人上了就没有阳刚之气。是为了男人好才这么说的。是传统文化，不是忽然来的规定。每次我们上网都会说男人走开男人走开，但是还有是有男人来上网，真的就是很不尊重啊！入乡随俗懂不懂？;0.9995110915450898
吊哩吊哩是这样子的;薜荔薜荔男廁所;-0.8012913306807763
吊哩吊哩是这样子的;回复@TFBOYS愿时代峰峻倒闭:同意但是女人也可以代表阳，类似阳光这类词;0.49332119625018356
吊哩吊哩是这样子的;这就是b站。;0.35574462966332443
吊哩吊哩是这样子的;回复@风中有朵宇做的云i:确实，要不怎么会有一个账号男粉多了，那这个号就废了的说法呢;0.4710983806325275
吊哩吊哩是这样子的;回复@-鱼把拖-:好骂;-0.9774706922546326
吊哩吊哩是这样子的;回复@如果今天我有空去到你的身边:dilidili;0.7651116206610089
吊哩吊哩是这样子的;回复@天天爱在床上玩:这一拳打到你皮炎子里了？小受儿？[来];-0.025407038700308693
吊哩吊哩是这样子的;回复@TFBOYS愿时代峰峻倒闭:tmd笑鼠我了骂得好;0.6309451486876199
-------;--------;--------;0.3675582800793048
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;呵呵，闹大了就封了，早干嘛去了，这种东西竟然能通过审核;-0.9949718004865185
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;图3里那个up屁事没有;-0.09935693820380109
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;杀不完，根本杀不完，现在b站已经变味了[怒];-0.8105632163373464
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@舟山陈信宏:每次都需要别人发微博大量转发才封，这不叫封这叫销毁证据。b站需要做的是加强审核。。。;-0.987793431034425
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;打死一只蟑螂罢了[裂开];-0.9992396894407818
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@deeponeperfectmorning_:那你找个被侵犯的主体出来，让他民事诉讼[doge];0.9294835153068484
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@我亦清净:所以說侵犯未成年人肖像權所遭到的處罰僅僅是被刪視頻？;-0.4353327109206069
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;b站审核是薛定谔的严格，dddd[二哈];-0.8536687153980931
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;啊，那到底是要封还是不要封;-0.8139525667045526
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@野猪和你:你在讲笑话吗？还是精神疯癫没法进行基本的常识判断了;-0.04244848749329888
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;[太阳]http://t.cn/A6NgghYF;0.16682851289661982
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@Lyn-七八:？这和是不是男的有啥关系？真就遇事踩男的成为政治正确呗[汗];-0.4998203442520639
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;保护性屏蔽xs;0.07730591301624368
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@魅水姿:这些截图和内容发到微博一个都没被夹，那说明微博平台的审核也在纵容？还是说实际上尺度并不足以被审核[白眼];-0.9705125667204964
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@我亦清净:网站纵容，是网站温养了他们的存在，你再装傻就别回了;-0.8128458399069174
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@魅水姿:涉嫌低俗，个别有性暗示，但算不上淫秽物品，删作品封号就是惩罚了啊;0.7100052992669197
已经被封了，b站动手很快，稿件都被清空了http://t.cn/A6NrnF5v;回复@我亦清净:发现卖毒的直接销毁毒品就行了？毒贩呢？网站整改呢？处罚呢？;-0.8818739416204249
