发布者;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
免费的AI实时翻译软件与app同台竞争（对比测评）;0.0110046450545976;0.0724380033860334;0.4385632883454394;0.05177438600888113
超级好用的AI翻译工具推荐，英文读写再也不是难事;0.000717429898587;0.2072375512322065;0.5049203696487272;0.170085371105202
有了这款专业AI翻译神器，终于不用再找人帮我翻译论文摘要了，用来做翻译工作也不错呀~;0.0021644495245506;-0.3151110800476883;0.4785704691582533;-0.24520810435821655
ChatGPT的翻译能力再次震撼我全家;0.0028940392519273;0.3675059660881617;0.4664314058880006;0.2787780266492987
AI：翻译《出师表》，把军师都给气活了！视频素材来源：鹰目大人;1.0;0.1741822583547128;0.7422439542625893;0.2415687474107121
AI让翻译集体下岗？&口译生毕业去向｜高翻学姐的碎碎念;0.0018604538048104;0.7422041678622633;0.8210392936083694;0.9906123118604738
AI对翻译行业的降维打击;0.0013619008244363;0.3431963454045482;0.4040010019379644;0.22542121945726165
LanguageX：一款超好用的AI辅助翻译工具;0.0009484666455896;0.044908494619994;0.6327380796283547;0.0461882870833397
AI会取代人工翻译吗？;0.0094238673119482;0.5337467434718102;0.4119419278636251;0.3582455526782151
【AI翻译】东京编程妹 2023/04/08;0.0038425058975169;0.1482527470480128;0.4050556553342776;0.09769718087057806
「论文降重」三个步骤86%降低到7%,火龙果写作+DeepL/学术改写+AI续写+翻译降重/毕业学渣的绝地求生/优秀学术论文/知网陷入了沉思~导师夸了我;0.0209027456893406;0.2212632456592622;0.4952900121436361;0.17894009103224584
AI同传能否取代所有翻译？还有必要学外语吗？;0.0010943845910649;0.4685967758196609;0.4131534963566839;0.31473539752455904
最新AI翻译视频的软件，自动翻译视频文字;8.511880152727449e-05;-0.8783356276916707;0.630437847857452;-0.8999457944074966
《如果突然想起我》，但是谷歌翻译20次;0.2613633600038911;0.1922932951477602;0.5243921439680995;0.17295609610175902
今天尝试了下小爱ai翻译的同声传译，准确率蛮高！;0.0001823974318441;-0.2532914353165558;0.5717595088996648;-0.2353728436122741
实时翻译AI字幕准备上线了，看英文电影、和老外聊天，实时翻译传达，轻松无压力！;0.0041708212748364;0.110826098666867;0.38370884043311;0.06919506363614832
穷鬼狂喜！独立游戏怎么用AI和机翻做游戏翻译？;0.0027967606216104;0.02610186239538;0.5235641487440243;0.022223177050444607
《打上花火》，但是谷歌翻译20次;0.1519127410686057;0.3108220136476144;0.4291553812100599;0.2253135726214295
《稻香》，但是谷歌翻译20次;0.348999246090615;0.3796842414835302;0.5645010110214921;0.37226107535738395
万众期待！日本爱情电影同声传译教程来了！！！;0.2265254505216566;0.1051553956786682;1.0;0.17520007835782178
昌哥聊科研 |  ChatGPT用于论文润色、翻译操作案例和技巧;0.0308981249544006;-0.0691876628210283;0.5256903189695098;-0.059496678905381524
OPS「自动翻译」+「可视化编辑」+「提示词管理」我们开发了这个 AI 提示词编辑器，让 AIGC 的效率倍增;0.1006104234052384;0.04485727167699;0.8041868937700088;0.059441864303369826
【保姆级教程】无需编程基础 | 教你用python搭建本地翻译服务 | 基于Hugging Face模型;0.0018726136336;0.2410006128905639;0.4924051800058704;0.19294400721477775
AI是怎么搞语言翻译的;0.1603273425910163;0.2644527458980744;0.4037960203091188;0.1812033482087793
【啃生肉必备】有多少人还不知道，其实手机有自带的AI字幕并且还能翻译？;0.0015564580850701;-0.0181335460169959;0.4245606121234841;-0.01251717626200564
【吐槽AI】人工智能真的可以替代人工翻译吗？Adam有话要说;0.0289403925192733;0.4723765044627281;0.3924249584654643;0.3037359186694412
分享一个小软件，超实用【AI神器】手机实时字幕翻译，任何海外剧（日+韩+英+中）;0.008463240837569;0.0037211344729961;0.4667393813906346;0.0028283358750127736
从日本火到中国，据说这是一款碾压谷歌的 AI 翻译工具 | DeepL | VLOG60;0.0722172231814976;0.289484039983103;0.5569156660746394;0.2657870750839237
用AI翻译看生肉视频;0.0004255940076363;-0.3579853680417447;0.4482275852497155;-0.2608054918959965
超级好的免费AI翻译网站推荐;0.0002188769182129;0.4075854857074886;0.6306507399111247;0.417764398142578
小智Ai视频翻译软件，中文视频一键翻译韩语并配音！;1.2159828789610642e-05;-0.2370370370370367;0.6302544244477514;-0.24279520389439682
好好的古诗被翻译成了S人笔【AI】【人工智能翻译古诗】;0.0041586614460468;0.1923786120385603;0.7549152063875716;0.23617165050982528
DeepL Pro v3.1全世界最准确的翻译器;0.0005958316106909;-0.1716761605460257;0.4118579554346115;-0.11493024041447936
全能模拟器AI翻译教程;0.0024684452442909;0.2243528326921844;0.3977545344995399;0.14512863847365315
ChatGpt系列 — 如何用教AI纠正语法，成为一个专业的翻译员;0.0941413944891655;0.0761390347198916;0.483270431773257;0.06109482974195183
b站如何开启AI翻译字幕;0.0013254213380675;-0.281348771774891;0.4729094742140357;-0.21630438352482034
小爱AI字幕目前可用状态;0.0001215982878961;0.1347713645910961;0.6303857467828721;0.13807669346347723
都有ai翻译了，还需要学英语吗？;0.0025170845594494;0.6344205675322472;0.4304419505025277;0.444100223717795
精通200种语言相互翻译的AI;8.511880152727449e-05;0.6357352539020438;0.6304069031331824;0.6513446203380096
【MIUI】小爱翻译上线，同声翻译，ai字幕来了;0.0021279700381818;0.0802710289151894;0.4072147713320073;0.05315467949613526
当Chatgpt被问到:“翻译行业行不行”;4.863931515844257e-05;-0.752824482692162;0.6302947382749373;-0.7711665783539952
外语视频听不懂，这款AI自动翻译神器必备！支持几十个国家语言;0.0016050974002286;-0.1195165663789089;0.4562523240150296;-0.08865637806426137
手机自带的ai字幕;4.863931515844257e-05;-0.5095683374063243;0.8117260496910078;-0.6722361593254919
AI翻译生肉软件/插件;0.0002310367470026;0.4303700996192227;0.5031908715197747;0.3519687124968167
【千万不要买】这个AI翻译机里肯定住了个东北人，英语还贼溜！;0.1065079403681996;-0.0286115857138187;0.4546794834400198;-0.021692688938986182
ai读论文，ai翻译论文，ai解析论文神器，gpt大模型;0.0001580777742649;-0.0129127803051742;0.6307617111988674;-0.01323744710065953
华为手机如何打开AI翻译;0.0004012743500571;0.5477275669270373;0.7289249075003111;0.6489048392632517
小智Ai视频翻译软件，一键翻译视频TikTok必备;3.647948636883193e-05;0.93629861773077;0.6302465033836698;0.9590354917796459
【AI绘画/Webui】使用翻译直接生成Tag以及不放大的大图的制作方式;0.0003526350348987;0.4628411908652539;0.7544440985576277;0.567529814912649
百   度   翻   译 の 早   八   宣   言   [返 璞 归 真|AI];0.0001094384591064;0.8542090338666302;0.658470454397322;0.9141459352981318
华为ai字幕日语准确度测试;0.0044140178506286;0.0131073474751586;0.4535985683847818;0.009673037423442558
小智AI翻译图片视频;1.2159828789610642e-05;-0.4017660044150106;0.630245794199016;-0.41152017611151565
讯飞AI翻译笔P20 Plus评测：翻译笔不只是用来学英语的，还有这些隐藏功能...;0.0144823560884262;0.1843920706636257;0.446604990246316;0.13431819749796756
【AI翻译】工事中406 2023/04/09 厨艺大赛 下;0.0025414042170286;0.2232391111906148;0.4287796451681102;0.15566731005721232
全机型使用 AI字幕;0.0031493956565091;-0.1398464211993808;0.4095742263975224;-0.09316696132293503
小智Ai视频翻译软件，中文视频一键翻译泰语，泰国TikTok必备！;1.2159828789610642e-05;-0.4567401717361223;0.630233165130634;-0.4678196450018077
ChatGpt系列 — 日语篇>AI可以翻译改进任何语言;0.0005471922955324;0.3705858323103952;0.484105751923174;0.2916021046713936
同传译员爆出，科大讯飞同传用人类翻译冒充AI。9月22日，科大讯飞再次回应称，在本次会议前曾与主办方沟通，出于会议的专业性考虑，主办方选择了通过转写同传语音来帮;0.0004742333227948;0.2054400187792759;0.5366069985511744;0.17918063940727913
【中文翻译】AI Builds【暂时完结】;0.0016780563729662;0.4661042718692918;0.4887933640783128;0.3704086112269356
AI手语翻译器;0.0001823974318441;-0.1172456984244004;0.6304587427096823;-0.12013639883408744
【AI英配】开宝第一集片段英文版(人工翻译，AI合成);0.005496242612904;0.2516842107255962;0.4171508931509544;0.17088011782580723
AI快剪，视频完美翻译，音，画，字幕全部同步，可以批量制作;4.863931515844257e-05;0.4450956102949658;0.6303659588004399;0.4559916040463606
干货｜翻译如何用 ChatGPT 提高质量和效率｜5 种尝试;0.000559352124322;0.7325040861382038;0.7998524341572253;0.9522713675275742
