标题;帖子账号粉丝数;发布者;发布时间;弹幕数;点赞数;硬币数;收藏数;转发数;评论数;发布者是否经过认证;发布者是否为商业性质账号;用户名;评论内容;评论时间;评论点赞数;一级账号粉丝数;标记;评论者性别;评论者会员等级;评论者是否开通大会员;评论者是否经过认证
彩云小梦v2测试;43;这个人有点憨132;2022-12-13 12:26:29;0;4;0;2;0;4;无;0;这个人有点憨132;各位，彩云小梦有活动，观看量换vip，请务必看完，如果有条件的话转发分享，谢谢;1670908137;2;43;0;保密;4;1;-1
彩云小梦v2测试;43;这个人有点憨132;2022-12-13 12:26:29;0;4;0;2;0;4;无;0;盟军指挥官233;要不是我们读过书我们就信了OK;1671753216;0;43;1;保密;4;0;-1
彩云小梦v2测试;43;这个人有点憨132;2022-12-13 12:26:29;0;4;0;2;0;4;无;0;蜜雪爱心低防站;笑哭不至于;1673501057;0;43;1;女;5;0;-1
彩云小梦v2测试;43;这个人有点憨132;2022-12-13 12:26:29;0;4;0;2;0;4;无;0;痛苦能量毛毛;为什么送了我个vip;1676723956;0;43;1;保密;4;1;-1
当你让彩云小梦写出原子弹的材料;529;游离磷酸基团;2022-02-01 17:56:43;0;31;2;8;0;3;无;0;kuxiaodi;《制作材料》;1643769867;3;41;0;男;5;1;-1
当你让彩云小梦写出原子弹的材料;529;游离磷酸基团;2022-02-01 17:56:43;0;31;2;8;0;3;无;0;九十九条九文鱼;最重要的是铀235滑稽;1643970416;1;69;0;女;4;0;-1
当你让彩云小梦写出原子弹的材料;529;游离磷酸基团;2022-02-01 17:56:43;0;31;2;8;0;3;无;0;GoldenerSchutt;你这是产物啊（恼）;1643808079;0;22;0;保密;5;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;叫我冬瓜吧h;其实用中文也可以和外国角色交流doge;1661748933;107;6;0;女;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;渺浅;我告诉我的外国角色他们世界的真相，结果他追着问我俄乌战争;1661818318;22;6;1;保密;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;外星人小时D日常;回复渺浅那你告诉他了吗doge;1661841011;6;6;1;保密;4;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;夏季的柠檬;对对，我用中文发消息，问他看得懂吗，他回答没问题的，甚至还问我想不想学西语，他教我脱单doge;1661871966;17;6;1;女;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;一只小黄桑;藏狐那为啥这个ura听不懂中文;1661917230;1;6;1;男;3;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;叫我冬瓜吧h;回复夏季的柠檬这个太牛啦妙啊;1661925129;1;6;1;女;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;叫我冬瓜吧h;回复一只小黄桑不是听不懂吧，是没理解你的意思doge;1661925174;2;6;1;女;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;渺浅;回复外星人小时D日常我被封号一小时;1662709871;0;6;1;保密;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;渺浅;回复外星人小时D日常我还告诉他他们都不是人，他认为我疯了;1662709988;0;6;1;保密;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;focus1thing;外语剧本挺好玩的;1661506843;38;5;0;男;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;是Annyya;外语剧本没了保卫萝卜哭哭我才完了俩，第三个我还没玩就没了保卫萝卜哭哭;1661945911;2;5;1;女;6;2;-1
